Species,log2fc,qval,groupings,sample_type,method
Eikenella corrodens,6.152555494672611,0.0069095208178421,MDACC,Saliva,Maaslin2
Lancefieldella rimae,4.818392829113845,0.0837044124664001,MDACC,Saliva,Maaslin2
Alloscardovia omnicolens,6.373785477697275,0.10407036999144301,MDACC,Saliva,Maaslin2
Prevotella denticola,3.5266761697404068,0.10407036999144301,MDACC,Saliva,Maaslin2
Capnocytophaga gingivalis,2.530648009671561,0.113389457004367,MDACC,Saliva,Maaslin2
Campylobacter concisus,-2.0622650359925787,0.118600033719865,HMP,Saliva,Maaslin2
Tannerella sp oral taxon HOT 286,3.9886586604333427,0.141297166717966,MDACC,Saliva,Maaslin2
Kingella oralis,4.004903575942288,0.156735128663806,MDACC,Saliva,Maaslin2
Candidatus Nanosynsacchari sp TM7 ANC 38 39 G1 1,-4.084538843003144,0.156735128663806,HMP,Saliva,Maaslin2
Lachnoanaerobaculum orale,3.0388624265992448,0.185133646190735,MDACC,Saliva,Maaslin2
Lautropia mirabilis,2.6568788280742237,0.185325274386564,MDACC,Saliva,Maaslin2
Stomatobaculum SGB5266,3.9698981616524707,0.188039823592506,MDACC,Saliva,Maaslin2
Capnocytophaga sputigena,2.4502416247165844,0.216026524409848,MDACC,Saliva,Maaslin2
Rothia mucilaginosa,3.9735593859382616,0.00101609104337407,MDACC,Saliva,AncomBC
Prevotella pallens,-2.76671722673904,0.0018694240271184,HMP,Saliva,AncomBC
Porphyromonas pasteri,-4.394458073972658,4.151828719823465e-9,HMP,Saliva,AncomBC
Rothia dentocariosa,5.412449099391348,0.08382563419810822,MDACC,Saliva,AncomBC
Eikenella corrodens,3.3357019471525184,0.00502510422615117,MDACC,Saliva,AncomBC
Dialister invisus,-2.885006289648101,0.08382563419810822,HMP,Saliva,AncomBC
Actinomyces naeslundii,3.7213580955373953,1.8748609435820657e-5,MDACC,Saliva,AncomBC
Streptococcus oralis,-2.952754864893328,0.17575206008100677,HMP,Saliva,AncomBC
Fusobacterium pseudoperiodonticum,-4.949028388248654,6.05428119354111e-4,HMP,Saliva,AncomBC
Olsenella sp oral taxon 807,4.702732264876523,1.1002691329405538e-4,MDACC,Saliva,AncomBC
Gemella haemolysans,-4.123673235843239,0.15515286140624435,HMP,Saliva,AncomBC
Prevotella pleuritidis,-4.4446482927648985,0.0592554411444928,HMP,Saliva,AncomBC
Fusobacterium nucleatum,-3.899663837375378,0.00778176381957024,HMP,Saliva,AncomBC
Candidatus Nanosynsacchari sp TM7 ANC 38 39 G1 1,-3.0202287493325777,0.20749769448384336,HMP,Saliva,AncomBC
Parvimonas micra,-4.0504187041503865,4.4820460736130415e-8,HMP,Saliva,AncomBC
Campylobacter gracilis,2.085059967596637,0.1073594913917202,MDACC,Saliva,AncomBC
Rothia mucilaginosa,3.0811481747736504,3.6202720202549714e-4,MDACC,Saliva,AncomBC2
Stomatobaculum SGB5266,2.2385271118999928,3.1054325688256864e-6,MDACC,Saliva,AncomBC2
Alloscardovia omnicolens,2.467740671913905,2.0751822831449576e-12,MDACC,Saliva,AncomBC2
Abiotrophia sp HMSC24B09,2.1330928844499133,3.74853941687835e-5,MDACC,Saliva,AncomBC2
Actinomyces naeslundii,3.3969746447021514,2.8802678520332112e-22,MDACC,Saliva,AncomBC2
Tannerella sp oral taxon HOT 286,2.038848548024313,1.9327520202599667e-6,MDACC,Saliva,AncomBC2
Actinomyces sp oral taxon 448,-2.7648309150288197,5.802714736770548e-14,HMP,Saliva,AncomBC2
Capnocytophaga granulosa,2.557169817936496,1.3365647822247839e-15,MDACC,Saliva,AncomBC2
Candidatus Saccharibacteria unclassified SGB19850,-2.951709674422207,1.874025293112848e-6,HMP,Saliva,AncomBC2
Prevotella oulorum,2.1542249473789763,0.06325095110035345,MDACC,Saliva,AncomBC2
Actinomyces dentalis,2.54194705393379,2.582049127057212e-15,MDACC,Saliva,AncomBC2
Solobacterium SGB6833,-2.0685339045981253,4.3027246607995944e-9,HMP,Saliva,AncomBC2
Campylobacter gracilis,4.6481572353667895,5.357716649413831e-25,MDACC,Saliva,AncomBC2
Capnocytophaga leadbetteri,3.23817114586794,0,MDACC,Oral swab,Maaslin2
Capnocytophaga sputigena,2.4375592637368735,0,MDACC,Oral swab,Maaslin2
Fusobacterium pseudoperiodonticum,-2.7394500820912486,0,HMP,Oral swab,Maaslin2
LKT f  Weeksellaceae,-5.473861606531945,3.67516887376253e-12,HMP,Oral swab,Maaslin2
Haemophilus haemolyticus,-5.138239626606916,1.0046489059363e-9,HMP,Oral swab,Maaslin2
Prevotella melaninogenica,3.948439228227445,1.7961760388749302e-9,MDACC,Oral swab,Maaslin2
Haemophilus parainfluenzae,-2.399670196655097,3.4693050222832303e-9,HMP,Oral swab,Maaslin2
Streptococcus mitis,-2.6184807885776635,2.32159204203923e-8,HMP,Oral swab,Maaslin2
Veillonella dispar,3.341041159955451,1.28262023911522e-5,MDACC,Oral swab,Maaslin2
Fusobacterium nucleatum,-3.6677094526128537,3.71775648678668e-5,HMP,Oral swab,Maaslin2
Gemella haemolysans,-2.3010675484668033,0.00339398010320525,HMP,Oral swab,Maaslin2
Veillonella atypica,2.612686952755053,0.00601747832642414,MDACC,Oral swab,Maaslin2
Lautropia mirabilis,2.06666891433216,0.00657957507759467,MDACC,Oral swab,Maaslin2
Abiotrophia defectiva,3.121261063878013,0.0156137706621161,MDACC,Oral swab,Maaslin2
Prevotella oris,2.6050493497196583,0.0327583432533397,MDACC,Oral swab,Maaslin2
Prevotella salivae,2.732624607356016,0.0369491309792865,MDACC,Oral swab,Maaslin2
Isoptericola variabilis,2.7815008874840284,0.049403990488462,MDACC,Oral swab,Maaslin2
Prevotella jejuni,2.6030457331485453,0.0686810101172835,MDACC,Oral swab,Maaslin2
Prevotella histicola,2.2505621543735317,0.0686810101172835,MDACC,Oral swab,Maaslin2
Actinomyces graevenitzii,2.062394143117515,0.117675845101499,MDACC,Oral swab,Maaslin2
Prevotella melaninogenica,3.5658174815313948,7.829922088671875e-12,MDACC,Oral swab,AncomBC
Prevotella jejuni,2.019816075645348,0.00435219747306157,MDACC,Oral swab,AncomBC
Veillonella dispar,2.3254960766541704,0.00182858807056804,MDACC,Oral swab,AncomBC
Lautropia mirabilis,2.1414146221905903,0.01746158529140833,MDACC,Oral swab,AncomBC
Veillonella parvula,2.1704483448563385,5.180664618293836e-5,MDACC,Oral swab,AncomBC
Streptococcus mitis,-4.636503201931614,8.12598100050847e-18,HMP,Oral swab,AncomBC
Porphyromonas pasteri,-2.5472291017150384,1.3712221336728764e-5,HMP,Oral swab,AncomBC
Capnocytophaga leadbetteri,2.764643757287957,1.1067815605569165e-6,MDACC,Oral swab,AncomBC
Haemophilus parainfluenzae,-2.4603402625237183,2.329191146043966e-9,HMP,Oral swab,AncomBC
Actinomyces oris,-2.209810056250229,0.00435219747306157,HMP,Oral swab,AncomBC
Prevotella salivae,2.3608597200221833,4.494886239992304e-7,MDACC,Oral swab,AncomBC
Capnocytophaga sputigena,2.8082358507390732,1.6269203098430992e-7,MDACC,Oral swab,AncomBC
Granulicatella elegans,-2.507016430528012,1.624661793640732e-6,HMP,Oral swab,AncomBC
Streptococcus oralis,-4.399032773306355,2.6049645301835816e-18,HMP,Oral swab,AncomBC
Fusobacterium pseudoperiodonticum,-2.609658424218003,6.830377469671574e-8,HMP,Oral swab,AncomBC
LKT f  Weeksellaceae,-2.9078666468147674,3.5481765004403197e-13,HMP,Oral swab,AncomBC
Gemella haemolysans,-6.27285595050017,3.378400741833703e-40,HMP,Oral swab,AncomBC
Prevotella oris,2.5697106884096277,5.091082596026108e-6,MDACC,Oral swab,AncomBC
Haemophilus haemolyticus,-4.9242804213609634,1.673686593965401e-16,HMP,Oral swab,AncomBC
Fusobacterium nucleatum,-2.222069920647659,1.42813226476345e-7,HMP,Oral swab,AncomBC
Gemella SGB7284,-2.752385440770111,1.624661793640732e-6,HMP,Oral swab,AncomBC
Prevotella jejuni,2.1204767674538867,5.54168388467977e-7,MDACC,Oral swab,AncomBC2
Streptococcus mitis,-2.9188501028816423,1.684490956381828e-9,HMP,Oral swab,AncomBC2
Haemophilus parainfluenzae,-2.3051795888872957,7.022801449239662e-7,HMP,Oral swab,AncomBC2
LKT f  Weeksellaceae,-3.0868335782264764,3.31951774242707e-13,HMP,Oral swab,AncomBC2
Haemophilus haemolyticus,-3.093081640266609,6.270591531988161e-12,HMP,Oral swab,AncomBC2
Haemophilus sputorum,-2.421133829613417,1.8191527080181032e-8,HMP,Oral swab,AncomBC2
