Species,log2fc,qval,groupings,sample_type,method
Roseburia sp AF02 12,2.62,0.1587322663288013,Y,Stool,AncomBC2
Rothia mucilaginosa,-2.71,0.08567838977456407,N,Stool,AncomBC2
Prevotella oralis,-2.53,0,N,Saliva,Maaslin2
Eikenella corrodens,-2.96,0,N,Saliva,Maaslin2
Campylobacter gracilis,-3.37,0,N,Saliva,Maaslin2
Fusobacterium pseudoperiodonticum,3.54,0,Y,Saliva,Maaslin2
Streptococcus infantis,2.69,0,Y,Saliva,Maaslin2
Streptococcus oralis,2.07,0,Y,Saliva,Maaslin2
Streptococcus gordonii,-3.05,0,N,Saliva,Maaslin2
Abiotrophia sp HMSC24B09,3.91,0,Y,Saliva,Maaslin2
Gemella sanguinis,3.88,0,Y,Saliva,Maaslin2
Lachnoanaerobaculum saburreum,-3.09,0,N,Saliva,Maaslin2
Stomatobaculum SGB5266,7.17,0,Y,Saliva,Maaslin2
Oribacterium parvum,4.11,0,Y,Saliva,Maaslin2
Anaeroglobus geminatus,-2.77,0,N,Saliva,Maaslin2
Corynebacterium matruchotii,-3.58,0,N,Saliva,Maaslin2
Pseudopropionibacterium propionicum,4.01,0,Y,Saliva,Maaslin2
Actinomyces johnsonii,3.29,0,Y,Saliva,Maaslin2
Actinomyces dentalis,-2.2,0,N,Saliva,Maaslin2
Actinomyces SGB17168,5.54,0,Y,Saliva,Maaslin2
Isoptericola variabilis,4.96,0,Y,Saliva,Maaslin2
Actinomyces SGB17154,2.6,0,Y,Saliva,Maaslin2
Actinobaculum sp oral taxon 183,-2.43,0,N,Saliva,Maaslin2
Bifidobacterium dentium,-2.31,0,N,Saliva,Maaslin2
Kingella oralis,-3.01,0.130895787457956,N,Saliva,Maaslin2
Capnocytophaga gingivalis,-2.41,0.131906095660081,N,Saliva,Maaslin2
Alloprevotella tannerae,2.54,0,Y,Saliva,AncomBC
Bacteroidaceae bacterium,3.5,0,Y,Saliva,AncomBC
Fusobacterium pseudoperiodonticum,2.63,0,Y,Saliva,AncomBC
Streptococcus sp A12,2.32,0,Y,Saliva,AncomBC
Gemella sanguinis,4.26,0,Y,Saliva,AncomBC
Stomatobaculum SGB5266,4.4,0,Y,Saliva,AncomBC
Pseudopropionibacterium propionicum,2.38,0,Y,Saliva,AncomBC
Actinomyces SGB17168,2.91,0,Y,Saliva,AncomBC
Selenomonas artemidis,3.7,0.01110951593598287,Y,Saliva,AncomBC2
Isoptericola variabilis,2.5,0.04277762096184694,Y,Saliva,AncomBC2
Actinomyces SGB17154,2.21,0.1209079995605816,Y,Saliva,AncomBC2
Prevotella histicola,3.66,0,Y,Oral swab,Maaslin2
Prevotella pallens,3.26,0,Y,Oral swab,Maaslin2
Prevotella nanceiensis,2.25,0,Y,Oral swab,Maaslin2
Capnocytophaga leadbetteri,-3.62,0,N,Oral swab,Maaslin2
Eikenella corrodens,-4.14,0,N,Oral swab,Maaslin2
Streptococcus salivarius,2.16,0,Y,Oral swab,Maaslin2
Streptococcus oralis,2.69,0,Y,Oral swab,Maaslin2
Streptococcus sanguinis,3.36,0,Y,Oral swab,Maaslin2
Streptococcus parasanguinis,2.82,0,Y,Oral swab,Maaslin2
Streptococcus sp 263 SSPC,3.71,0,Y,Oral swab,Maaslin2
Lachnoanaerobaculum orale,3.64,0,Y,Oral swab,Maaslin2
Veillonella rogosae,2.68,0,Y,Oral swab,Maaslin2
Megasphaera micronuciformis,2.75,0,Y,Oral swab,Maaslin2
Lancefieldella parvula,2.35,0,Y,Oral swab,Maaslin2
Rothia mucilaginosa,4.41,0,Y,Oral swab,Maaslin2
Haemophilus parainfluenzae,2.34,0.1179738890587,Y,Oral swab,Maaslin2
Veillonella dispar,3.14,0.182940063226293,Y,Oral swab,Maaslin2
Streptococcus infantis,2.43,0,Y,Oral swab,AncomBC
Streptococcus parasanguinis,2.35,0,Y,Oral swab,AncomBC
Streptococcus sp 263 SSPC,3.07,0,Y,Oral swab,AncomBC
Prevotella histicola,2.53,0.03675040981797833,Y,Oral swab,AncomBC2
Prevotella pallens,2.9,0.01570545096313725,Y,Oral swab,AncomBC2
Lancefieldella parvula,2.75,0.04304900853668668,Y,Oral swab,AncomBC2
Rothia mucilaginosa,2.5,0.01371679692337008,Y,Oral swab,AncomBC2
