ProbeName,TargetName,Target_Name,HUGOSymbol,Accessions,AnalyteType,CodeClass,TargetGroup
DPROT_00899.1,p53 (acetyl K373),p53 (acetyl K373),TP53,"A0A087X1Q1,K7PPA8,H2EHT1,Q53GA5,P04637,A0A087WT22,A0A087WXZ1",Protein,Endogenous,"All Targets, Notch Signaling, Myc, Epigenetic Modification, Apoptosis, Oxidative Stress, p53 Signaling, DNA Damage Repair, PI3K-Akt Signaling, MAPK Signaling, Other Interleukin Signaling, Senescence, Wnt Signaling, Cell Cycle, EMT"
DPROT_00983.1,SLC7A5/LAT1,SLC7A5/LAT1,SLC7A5,Q01650,Protein,Endogenous,"All Targets, mTOR Signaling"
DPROT_01156.1,Pro Caspase-8,Pro Caspase-8,CASP8,"Q14790,A0A024R3Z8",Protein,Endogenous,"All Targets, TNF Signaling, Apoptosis, p53 Signaling, TLR Signaling"
DPROT_00994.1,APG5L/ATG5,APG5L/ATG5,ATG5,"Q7Z3H3,Q9H1Y0,A9UGY9",Protein,Endogenous,"All Targets, Autophagy"
DPROT_00996.1,CD79b,CD79b,CD79B,P40259,Protein,Endogenous,All Targets
DPROT_01079.1,IKK alpha,IKK alpha,CHUK,O15111,Protein,Endogenous,"All Targets, TNF Signaling, NF-kB Signaling, Apoptosis, Myeloid Inflammation, Oxidative Stress, MHC Class I Antigen Presentation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, mTOR Signaling, Chemokine Signaling, TCR Signaling, IL-17 Signaling, TLR Signaling, IL-1 Signaling"
DPROT_01157.1,Aurora A,Aurora A,AURKA,O14965,Protein,Endogenous,"All Targets, mTOR Signaling, Cell Cycle, EMT"
DPROT_00785.1,CXCR6,CXCR6,CXCR6,"A0N0N3,O00574",Protein,Endogenous,"All Targets, Chemokine Signaling"
DPROT_01183.1,Bax,Bax,BAX,"Q5ZPJ0,Q07812,Q5ZPJ1,I6LPK7",Protein,Endogenous,"All Targets, Proteotoxic Stress, Epigenetic Modification, Apoptosis, p53 Signaling"
DPROT_01035.1,SFRP1,SFRP1,SFRP1,Q8N474,Protein,Endogenous,"All Targets, Androgen Signaling, Wnt Signaling"
DPROT_01060.1,STAT3,STAT3,STAT3,P40763,Protein,Endogenous,"All Targets, Treg Differentiation, TH17 Differentiation, Immortality & Stemness, PDGF Signaling, Apoptosis, Differentiation, FoxO Signaling, Other Interleukin Signaling, Chemokine Signaling, HIF1 Signaling, JAK-STAT Signaling, Senescence, MET Signaling, IL-1 Signaling, IL-6 Signaling, IL-2 Signaling, EMT"
DPROT_01113.1,Histone H3 (tri methyl K27),Histone H3 (tri methyl K27),"H3C2,H3C11,H3C10,H3C3,H3C12,H3C1,H3C6,H3C7,H3C4,H3C8",P68431,Protein,Endogenous,"All Targets, Notch Signaling, Epigenetic Modification, Estrogen Signaling, Differentiation, Other Interleukin Signaling, Senescence, Wnt Signaling, Cell Cycle"
DPROT_00890.1,Rho A + B + C,Rho A + B + C,"RHOC,RHOB,RHOA","Q9BVT0,P62745,C9JX21,A0A024R324,B4DKN9,A0A024R0I3,P61586,P08134,C9JRM1",Protein,Endogenous,"All Targets, VEGF Signaling, ERBB2 Signaling, Androgen Signaling, Cell Adhesion & Motility, Oxidative Stress, Lymphocyte Trafficking, Endocytosis, Differentiation, mTOR Signaling, Chemokine Signaling, TCR Signaling, Wnt Signaling, TGF-beta Signaling, EMT"
DPROT_01017.1,PARP1,PARP1,PARP1,"P09874,A0A024R3T8",Protein,Endogenous,"All Targets, NF-kB Signaling, Apoptosis, Oxidative Stress, DNA Damage Repair, TGF-beta Signaling"
DPROT_01041.1,CD14,CD14,CD14,P08571,Protein,Endogenous,"All Targets, NF-kB Signaling, Epigenetic Modification, Apoptosis, MHC Class I Antigen Presentation, MAPK Signaling, TLR Signaling"
DPROT_00927.1,SOD2/MnSOD,SOD2/MnSOD,SOD2,"Q9UG59,Q96AM7,G5E9P6,P04179",Protein,Endogenous,"All Targets, Oxidative Stress, FoxO Signaling, Other Interleukin Signaling, Mitochondrial Metabolism / TCA"
DPROT_00201.1,Somatostatin Receptor 2,Somatostatin Receptor 2,SSTR2,P30874,Protein,Endogenous,All Targets
DPROT_00761.1,Hsp70,Hsp70,"HSPA1B,HSPA1A","P0DMV9,P0DMV8,A8K5I0,B3KTT5",Protein,Endogenous,"All Targets, Proteotoxic Stress, Oxidative Stress, Endocytosis, Estrogen Signaling, MAPK Signaling"
DPROT_00922.1,SFRP4,SFRP4,SFRP4,Q6FHJ7,Protein,Endogenous,"All Targets, Wnt Signaling"
DPROT_00823.1,Tissue Factor,Tissue Factor,F3,P13726,Protein,Endogenous,"All Targets, Complement System"
DPROT_01179.1,Integrin alpha 6,Integrin alpha 6,ITGA6,P23229,Protein,Endogenous,"All Targets, Cell Adhesion & Motility, PI3K-Akt Signaling"
DPROT_01205.1,Lamin A + Lamin B1 + Lamin C,Lamin A + Lamin B1 + Lamin C,"LMNA,LMNB1","Q5TCI8,P20700,P02545,B4DZT3",Protein,Endogenous,"All Targets, Apoptosis, Other Interleukin Signaling, Senescence, Cell Cycle"
DPROT_00724.1,Neutrophil Elastase,Neutrophil Elastase,ELANE,P08246,Protein,Endogenous,"All Targets, Epigenetic Modification, Matrix Remodeling and Metastasis, Complement System"
DPROT_00756.1,IL-6R,IL-6R,IL6R,"P08887,A0N0L5,A0A087WTB5",Protein,Endogenous,"All Targets, TH17 Differentiation, Differentiation, PI3K-Akt Signaling, MAPK Signaling, Other Interleukin Signaling, HIF1 Signaling, JAK-STAT Signaling, IL-6 Signaling"
DPROT_01112.1,Cytokeratin 8,Cytokeratin 8,KRT8,"P05787,Q7L4M3",Protein,Endogenous,"All Targets, Androgen Signaling, Differentiation, TGF-beta Signaling"
DPROT_01047.1,HMGB1,HMGB1,HMGB1,"P09429,A0A024RDR0",Protein,Endogenous,"All Targets, Apoptosis, DNA Damage Repair, Autophagy, TLR Signaling, RAGE Signaling, IL-1 Signaling, EMT"
DPROT_00767.1,CD40 Ligand,CD40 Ligand,CD40LG,P29965,Protein,Endogenous,"All Targets, NF-kB Signaling, Cell Adhesion & Motility, Lymphocyte Regulation, TCR Signaling, T-cell Checkpoints"
DPROT_00799.1,GLP-1R,GLP-1R,GLP1R,"A0A142FHB8,P43220",Protein,Endogenous,All Targets
DPROT_00875.1,Nectin 2,Nectin 2,NECTIN2,Q92692,Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Lymphocyte Regulation"
DPROT_00979.1,SHP2,SHP2,PTPN11,Q06124,Protein,Endogenous,"All Targets, Insulin Signaling, PDGF Signaling, Lymphocyte Trafficking, FGFR Signaling, EGFR Signaling, Differentiation, PI3K-Akt Signaling, MAPK Signaling, Other Interleukin Signaling, Type II Interferon Signaling, Type I Interferon Signaling, TLR Signaling, JAK-STAT Signaling, MET Signaling, IL-1 Signaling, IL-6 Signaling"
DPROT_01143.1,ERG,ERG,ERG,"B5MDW0,A0A0C4DG41,B4DVX5,P11308,B4DN83",Protein,Endogenous,"All Targets, Epigenetic Modification"
DPROT_01089.1,ETS1,ETS1,ETS1,"A8K725,B4DW78,P14921",Protein,Endogenous,"All Targets, Oxidative Stress, Senescence"
DPROT_00784.1,KDM3A / JHDM2A,KDM3A / JHDM2A,KDM3A,Q9Y4C1,Protein,Endogenous,"All Targets, Androgen Signaling, Epigenetic Modification"
DPROT_00042.1,CD40,CD40,CD40,"P25942,Q6P2H9,A0A0S2Z3C7,A0A0S2Z349",Protein,Endogenous,"All Targets, NF-kB Signaling, Epigenetic Modification, Cell Adhesion & Motility, TLR Signaling, T-cell Checkpoints"
DPROT_00984.1,TNF alpha,TNF alpha,TNF,"Q5STB3,P01375",Protein,Endogenous,"All Targets, TNF Signaling, TH17 Differentiation, NF-kB Signaling, Apoptosis, Myeloid Inflammation, Oxidative Stress, Differentiation, MAPK Signaling, Other Interleukin Signaling, mTOR Signaling, TCR Signaling, TLR Signaling, TGF-beta Signaling, EMT"
DPROT_00901.1,Ret,Ret,RET,"A0A024R7T2,P07949",Protein,Endogenous,"All Targets, Differentiation, MAPK Signaling"
DPROT_00594.1,IL-18,IL-18,IL18,"A0A024R3E0,Q14116",Protein,Endogenous,"All Targets, Other Interleukin Signaling, IL-1 Signaling"
DPROT_01139.1,IRF5,IRF5,IRF5,"C9JAU6,A0A0G2USB5,B7Z1M2,Q13568",Protein,Endogenous,"All Targets, Type II Interferon Signaling, Type I Interferon Signaling, TLR Signaling"
DPROT_00913.1,VEGFD,VEGFD,VEGFD,O43915,Protein,Endogenous,"All Targets, TNF Signaling, Cell Adhesion & Motility, PI3K-Akt Signaling, MAPK Signaling"
DPROT_00783.1,pan Cytokeratin,pan Cytokeratin,"KRT77,KRT76","Q0IIN1,Q01546,Q7Z794",Protein,Endogenous,"All Targets, Differentiation"
DPROT_01095.1,p38 beta/MAPK11 + p38 alpha/MAPK14,p38 beta/MAPK11 + p38 alpha/MAPK14,"MAPK14,MAPK11","Q15759,Q16539,A0A024RD15,L7RSM2,B4E0K5",Protein,Endogenous,"All Targets, TNF Signaling, VEGF Signaling, TH17 Differentiation, NRF2 Signaling, Myeloid Inflammation, Lymphocyte Trafficking, Differentiation, MAPK Signaling, FoxO Signaling, TCR Signaling, IL-17 Signaling, Mitochondrial Metabolism / TCA, TLR Signaling, Senescence"
DPROT_01067.1,PAK1,PAK1,PAK1,"Q13153,A0A024R5P0",Protein,Endogenous,"All Targets, VEGF Signaling, Cell Adhesion & Motility, Myeloid Inflammation, Differentiation, MAPK Signaling, Chemokine Signaling, TCR Signaling"
DPROT_00755.1,IMP3,IMP3,IGF2BP3,O00425,Protein,Endogenous,All Targets
DPROT_00316.1,MLH1,MLH1,MLH1,"A0A024R2S9,P40692,Q59EG3",Protein,Endogenous,"All Targets, p53 Signaling, DNA Damage Repair, Cell Cycle"
DPROT_00836.1,Carbonic Anhydrase 9/CA9,Carbonic Anhydrase 9/CA9,CA9,"Q16790,A0A0S2Z3D0",Protein,Endogenous,"All Targets, HIF1 Signaling"
DPROT_00260.1,CD28,CD28,CD28,"B4E0L1,P10747",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, PI3K-Akt Signaling, TCR Signaling, T-cell Checkpoints"
DPROT_00980.1,PU.1/Spi1,PU.1/Spi1,SPI1,P17947,Protein,Endogenous,"All Targets, Epigenetic Modification, Differentiation"
DPROT_01133.1,IKK gamma/NEMO,IKK gamma/NEMO,IKBKG,"Q9Y6K9,A0A087X1B1",Protein,Endogenous,"All Targets, TNF Signaling, NF-kB Signaling, Apoptosis, Myeloid Inflammation, MHC Class I Antigen Presentation, PI3K-Akt Signaling, MAPK Signaling, Chemokine Signaling, TCR Signaling, IL-17 Signaling, TLR Signaling, IL-1 Signaling"
DPROT_01140.1,Cytokeratin 5,Cytokeratin 5,KRT5,P13647,Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Differentiation"
DPROT_00795.1,IL-1 alpha,IL-1 alpha,IL1A,P01583,Protein,Endogenous,"All Targets, MAPK Signaling, Other Interleukin Signaling, Senescence, IL-1 Signaling"
DPROT_00839.1,beta Catenin,beta Catenin,CTNNB1,"A0A024R2Q3,B4DGU4,P35222",Protein,Endogenous,"All Targets, VEGF Signaling, Immortality & Stemness, Androgen Signaling, Cell Adhesion & Motility, Apoptosis, Oxidative Stress, Lymphocyte Trafficking, Differentiation, Wnt Signaling, EMT"
DPROT_01074.1,CD177,CD177,CD177,"Q8N6Q3,A0A087WVM2",Protein,Endogenous,All Targets
DPROT_01136.1,Histone H3 (acetyl K9),Histone H3 (acetyl K9),"H3C2,H3C11,H3C10,H3C3,H3C12,H3C1,H3C6,H3C7,H3C4,H3C8",P68431,Protein,Endogenous,"All Targets, Notch Signaling, Epigenetic Modification, Estrogen Signaling, Differentiation, Other Interleukin Signaling, Senescence, Wnt Signaling, Cell Cycle"
DPROT_01184.1,cIAP2,cIAP2,BIRC3,Q13489,Protein,Endogenous,"All Targets, TNF Signaling, NF-kB Signaling, Epigenetic Modification, Cell Adhesion & Motility, Apoptosis, TLR Signaling"
DPROT_00960.1,MMP7,MMP7,MMP7,P09237,Protein,Endogenous,"All Targets, Matrix Remodeling and Metastasis, Wnt Signaling"
DPROT_00807.1,PD-L1,PD-L1,CD274,"Q0GN75,Q9NZQ7",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, T-cell Checkpoints, EMT"
DPROT_01134.1,CPT1A,CPT1A,CPT1A,"A0A024R5F4,Q8WZ48,B2RAQ8,P50416",Protein,Endogenous,"All Targets, Lipid Metabolism, PPAR Signaling, AMPK Signaling"
DPROT_00990.1,Glucocorticoid Receptor (phospho S226),Glucocorticoid Receptor (phospho S226),NR3C1,"P04150,F1D8N4,E5KQF6,E5KQF5",Protein,Endogenous,All Targets
DPROT_01161.1,Von Willebrand Factor,Von Willebrand Factor,VWF,P04275,Protein,Endogenous,"All Targets, Cell Adhesion & Motility, PI3K-Akt Signaling, MAPK Signaling, Complement System"
DPROT_00249.1,Fas,Fas,FAS,"P25445,K9J972,Q59FU8",Protein,Endogenous,"All Targets, TNF Signaling, Apoptosis, p53 Signaling, MAPK Signaling"
DPROT_01076.1,IL-2 Receptor alpha,IL-2 Receptor alpha,IL2RA,"P01589,Q5W005",Protein,Endogenous,"All Targets, Endocytosis, PI3K-Akt Signaling, MAPK Signaling, Other Interleukin Signaling, TH2 Differentiation, JAK-STAT Signaling, IL-2 Signaling"
DPROT_00798.1,IL22 RA2/IL-22BP,IL22 RA2/IL-22BP,IL22RA2,Q969J5,Protein,Endogenous,"All Targets, Other Interleukin Signaling, JAK-STAT Signaling"
DPROT_01111.1,Cytokeratin 14,Cytokeratin 14,KRT14,P02533,Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Estrogen Signaling, Differentiation"
DPROT_00117.1,Ubiquitin,Ubiquitin,UBB,"P0CG47,Q5U5U6",Protein,Endogenous,"All Targets, TNF Signaling, Notch Signaling, ERBB2 Signaling, NF-kB Signaling, Apoptosis, Myeloid Inflammation, FGFR Signaling, Endocytosis, EGFR Signaling, DNA Damage Repair, Hedgehog Signaling, MHC Class I Antigen Presentation, Differentiation, MAPK Signaling, Autophagy, TCR Signaling, IL-17 Signaling, HIF1 Signaling, TLR Signaling, Senescence, Wnt Signaling, MET Signaling, IL-1 Signaling, Cell Cycle, TGF-beta Signaling, Interferon Response Genes"
DPROT_00134.1,VEGFA,VEGFA,VEGFA,"A0A0Y0IMM4,A0A087WUD8,A0A087WTP4,A0A087X0B2,A0A024RD33,A0A087X1L1,A0A024RD37,P15692,A2A2V4",Protein,Endogenous,"All Targets, VEGF Signaling, Cell Adhesion & Motility, Hedgehog Signaling, PI3K-Akt Signaling, MAPK Signaling, Other Interleukin Signaling, HIF1 Signaling, NO Signaling, EMT"
DPROT_01093.1,HLA A,HLA A,HLA-A,"B1PKY1,B2R7U3,P04439",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Endocytosis, Lymphocyte Regulation, MHC Class I Antigen Presentation, Type II Interferon Signaling, Type I Interferon Signaling, Senescence"
DPROT_00487.1,CD38,CD38,CD38,"B4E006,P28907",Protein,Endogenous,"All Targets, Oxidative Stress"
DPROT_01121.1,MEKK3,MEKK3,MAP3K3,"Q99759,Q96HN9,J3KRN4",Protein,Endogenous,"All Targets, MAPK Signaling, IL-1 Signaling"
DPROT_00943.1,Nectin-4,Nectin-4,NECTIN4,"K4PZ75,Q96NY8",Protein,Endogenous,"All Targets, Cell Adhesion & Motility"
DPROT_01037.1,IDH1,IDH1,IDH1,"V9HWJ2,O75874",Protein,Endogenous,"All Targets, Oxidative Stress, mTOR Signaling, IDH1/2"
DPROT_00632.1,ErbB2 / HER2 (phospho Y877),ErbB2 / HER2 (phospho Y877),ERBB2,"F5H1T4,J3QLU9,P04626,X5DNK3",Protein,Endogenous,"All Targets, ERBB2 Signaling, Cell Adhesion & Motility, Differentiation, PI3K-Akt Signaling, MAPK Signaling, HIF1 Signaling, EMT"
DPROT_00607.1,STAT3 (phospho Y705),STAT3 (phospho Y705),STAT3,P40763,Protein,Endogenous,"All Targets, Treg Differentiation, TH17 Differentiation, Immortality & Stemness, PDGF Signaling, Apoptosis, Differentiation, FoxO Signaling, Other Interleukin Signaling, Chemokine Signaling, HIF1 Signaling, JAK-STAT Signaling, Senescence, MET Signaling, IL-1 Signaling, IL-6 Signaling, IL-2 Signaling, EMT"
DPROT_01016.1,NQO1,NQO1,NQO1,"B4DLR8,P15559",Protein,Endogenous,"All Targets, NRF2 Signaling, Oxidative Stress"
DPROT_00395.1,CTLA4,CTLA4,CTLA4,P16410,Protein,Endogenous,"All Targets, T Cell Exhaustion, Cell Adhesion & Motility, TCR Signaling, T-cell Checkpoints"
DPROT_01189.1,S6K1,S6K1,RPS6KB1,P23443,Protein,Endogenous,"All Targets, Insulin Signaling, PI3K-Akt Signaling, Autophagy, mTOR Signaling, HIF1 Signaling, TGF-beta Signaling, AMPK Signaling"
DPROT_01068.1,Wee1 (phospho S642),Wee1 (phospho S642),WEE1,"P30291,Q86V29",Protein,Endogenous,"All Targets, Cell Cycle"
DPROT_00961.1,Cleaved PARP1,Cleaved PARP1,PARP1,"P09874,A0A024R3T8",Protein,Endogenous,"All Targets, NF-kB Signaling, Apoptosis, Oxidative Stress, DNA Damage Repair, TGF-beta Signaling"
DPROT_00279.1,Beclin 1,Beclin 1,BECN1,"Q14457,B4DQ36,A0A024R1X5,E7EV84,W0FFG4",Protein,Endogenous,"All Targets, Autophagy"
DPROT_01213.1,Cdk2,Cdk2,CDK2,"A0A024RB77,A0A024RB10,E7ESI2,G3V5T9,B4DDL9,P24941",Protein,Endogenous,"All Targets, Oxidative Stress, p53 Signaling, DNA Damage Repair, Differentiation, PI3K-Akt Signaling, FoxO Signaling, Senescence, Cell Cycle"
DPROT_00846.1,ErbB2 / HER2,ErbB2 / HER2,ERBB2,"F5H1T4,J3QLU9,P04626,X5DNK3",Protein,Endogenous,"All Targets, ERBB2 Signaling, Cell Adhesion & Motility, Differentiation, PI3K-Akt Signaling, MAPK Signaling, HIF1 Signaling, EMT"
DPROT_00999.1,Hsp27,Hsp27,HSPB1,"P04792,V9HW43",Protein,Endogenous,"All Targets, VEGF Signaling, Oxidative Stress, MAPK Signaling"
DPROT_01192.1,Smad2,Smad2,SMAD2,"Q15796,B7Z5N5,Q53XR6",Protein,Endogenous,"All Targets, Treg Differentiation, TH17 Differentiation, Immortality & Stemness, Endocytosis, Differentiation, Senescence, Cell Cycle, TGF-beta Signaling, EMT"
DPROT_01023.1,TRAF2,TRAF2,TRAF2,"Q12933,A0A024R8H5",Protein,Endogenous,"All Targets, TNF Signaling, NF-kB Signaling, Proteotoxic Stress, Apoptosis, Oxidative Stress, MAPK Signaling"
DPROT_00985.1,T-bet / Tbx21,T-bet / Tbx21,TBX21,Q9UL17,Protein,Endogenous,"All Targets, TH17 Differentiation, TH1 Differentiation, TH2 Differentiation"
DPROT_01109.1,ERK1 (phospho T202) + ERK2 (phospho T185),ERK1 (phospho T202) + ERK2 (phospho T185),"MAPK3,MAPK1","Q499G7,P28482,Q1HBJ4,P27361,L7RXH5,Q9BWJ1",Protein,Endogenous,"All Targets, Insulin Signaling, TNF Signaling, VEGF Signaling, Cell Adhesion & Motility, NRF2 Signaling, Apoptosis, Myeloid Inflammation, Oxidative Stress, FGFR Signaling, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, Autophagy, mTOR Signaling, Chemokine Signaling, TCR Signaling, IL-17 Signaling, HIF1 Signaling, TLR Signaling, Senescence, RAGE Signaling, Cell Cycle, TGF-beta Signaling, Interferon Response Genes, EMT"
DPROT_00752.1,Granzyme K,Granzyme K,GZMK,P49863,Protein,Endogenous,"All Targets, Cytotoxicity"
DPROT_01146.1,HDAC9,HDAC9,HDAC9,"B7Z3P7,Q9UKV0",Protein,Endogenous,"All Targets, Notch Signaling"
DPROT_01064.1,Met (c-Met),Met (c-Met),MET,"E6Y365,P08581,A0A024R728,B4DLF5,A0A024R759",Protein,Endogenous,"All Targets, Epigenetic Modification, Cell Adhesion & Motility, Oxidative Stress, Differentiation, PI3K-Akt Signaling, MAPK Signaling, MET Signaling, EMT"
DPROT_00854.1,CD18,CD18,ITGB2,"B4E0R1,P05107",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Lymphocyte Trafficking, Lymphocyte Regulation, Other Interleukin Signaling, mTOR Signaling, TLR Signaling, Complement System"
DPROT_00254.1,Bim,Bim,BCL2L11,"O43521,A0A0A0MRE7,A0A0C4DH20",Protein,Endogenous,"All Targets, Apoptosis, PI3K-Akt Signaling, FoxO Signaling"
DPROT_00810.1,CD3D,CD3D,CD3D,"B0YIY4,P04234",Protein,Endogenous,"All Targets, Endocytosis, Lymphocyte Regulation, TCR Signaling"
DPROT_01097.1,Integrin alpha 5,Integrin alpha 5,ITGA5,"B2R627,P08648",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Differentiation, PI3K-Akt Signaling"
DPROT_00975.1,PTGES2/Gbf1,PTGES2/Gbf1,PTGES2,"B3KPZ2,A6NHH0,Q9H7Z7,B4DWP1",Protein,Endogenous,"All Targets, Lipid Metabolism"
DPROT_00945.1,uPA Receptor/U-PAR,uPA Receptor/U-PAR,PLAUR,"Q03405,M0R1I2",Protein,Endogenous,"All Targets, Complement System"
DPROT_01203.1,ATG7,ATG7,ATG7,"O95352,B3KQM6",Protein,Endogenous,"All Targets, Oxidative Stress, MHC Class I Antigen Presentation, Autophagy"
DPROT_01206.1,Syk (phospho Y323),Syk (phospho Y323),SYK,"P43405,A0A024R244,A0A024R273",Protein,Endogenous,"All Targets, NF-kB Signaling, Myeloid Inflammation, PI3K-Akt Signaling, Other Interleukin Signaling, IL-2 Signaling"
DPROT_01208.1,BTK,BTK,BTK,"Q5JY90,Q06187",Protein,Endogenous,"All Targets, NF-kB Signaling, Myeloid Inflammation, Oxidative Stress, MHC Class I Antigen Presentation, TLR Signaling, TGF-beta Signaling"
