Tumor	TaxID	Taxa Name	Other Sample	Tumor Total Genome Length	Other Sample Genome Match	Percent of Length Matching	Average percent identity of Length Matching	Total Mismatches	Total Gaps
T-052	2682456	Veillonella nakazawae	GBM-BM-430	532	143	0.268796992	1	0	0
BTM-T-289	2382163	Streptococcus koreensis	GBM-01-2020-43	301	300	0.996677741	0.986665567	4	0
BTM-T-289	2382163	Streptococcus koreensis	GBM-01-2020-049	301	300	0.996677741	0.986665567	4	0
BTM-T-289	1871109	Neisseria sp. RH3002v2g	GBM-BM-257	151	151	1	0.99338	1	0
BTM-T-255	2382163	Streptococcus koreensis	GBM-BM-257	453	302	0.666666667	0.986755	4	0
BTM-T-255	2382163	Streptococcus koreensis	GBM-01-2020-046	453	151	0.333333333	0.97351	4	0
BTM-T-255	2382163	Streptococcus koreensis	GBM-01-2020-108	453	302	0.666666667	1	0	0
BTM-T-255	2382163	Streptococcus koreensis	GBM-01-2020-049	453	151	0.333333333	0.97351	4	0
BTM-T-255	28111	Bacteroides eggerthii	BM-02-2020-43	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	BM-02-2020-52	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-01-2020-049	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-01-2020-41	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-BM-396	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-01-2020-056	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-BM-438	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-BM-284	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-01-2020-44	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-01-2020-058	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-01-2020-046	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-BM-430	151	151	1	1	0	0
BTM-T-255	28111	Bacteroides eggerthii	GBM-BM-346	151	151	1	1	0	0
T-074	47678	Bacteroides caccae	GBM-BM-346	302	302	1	0.986755	4	0
T-074	47678	Bacteroides caccae	GBM-BM-396	302	302	1	0.990065	3	0
T-074	47678	Bacteroides caccae	GBM-01-2020-046	302	302	1	0.990065	3	0
T-074	47678	Bacteroides caccae	GBM-BM-257	302	302	1	1	0	0
T-074	47678	Bacteroides caccae	GBM-01-2020-41	302	302	1	1	0	0
T-074	47678	Bacteroides caccae	GBM-01-2020-049	302	302	1	1	0	0
T-074	47678	Bacteroides caccae	GBM-01-2020-058	302	302	1	0.993375	2	0
T-074	47678	Bacteroides caccae	GBM-BM-284	302	151	0.5	1	0	0
T-074	47678	Bacteroides caccae	BM-02-2020-52	302	302	1	0.993375	2	0
T-074	47678	Bacteroides caccae	GBM-BM-438	302	302	1	0.990065	3	0
T-074	47678	Bacteroides caccae	BM-02-2020-43	302	302	1	0.990065	3	0
T-074	47678	Bacteroides caccae	GBM-01-2020-056	302	302	1	0.990065	3	0
T-074	28128	Prevotella corporis	GBM-BM-438	493	151	0.306288032	0.98675	2	0
T-074	1686	Bifidobacterium catenulatum	GBM-01-2020-056	141	141	1	0.97163	4	0
T-074	1686	Bifidobacterium catenulatum	GBM-BM-257	141	141	1	0.97163	4	0
T-074	1686	Bifidobacterium catenulatum	GBM-01-2020-046	141	141	1	0.98582	2	0
BTM-T-343	2682455	Veillonella sp. S12025-13	GBM-01-2020-049	151	149	0.986754967	1	0	0
BTM-T-012	1502	Clostridium perfringens	BM-02-2020-43	219	219	1	0.99087	2	0
BTM-T-088	187491	Corynebacterium glaucum	GBM-01-2020-43	179	179	1	0.97765	4	0
BTM-T-044	2682455	Veillonella sp. S12025-13	GBM-BM-257	151	145	0.960264901	0.9931	1	0
BTM-T-071	28128	Prevotella corporis	GBM-BM-438	835	151	0.180838323	0.98013	3	0
BTM-T-071	28111	Bacteroides eggerthii	GBM-01-2020-058	856	148	0.172897196	0.99324	1	0
BTM-T-071	28111	Bacteroides eggerthii	GBM-01-2020-049	856	784	0.91588785	0.992345702	6	0
BTM-T-071	28111	Bacteroides eggerthii	GBM-BM-257	856	374	0.436915888	0.994651979	2	0
BTM-T-071	1686	Bifidobacterium catenulatum	GBM-01-2020-058	130	130	1	0.97692	3	0
BTM-T-071	33025	Phascolarctobacterium faecium	GBM-01-2020-41	225	225	1	1	0	0
BTM-T-071	33025	Phascolarctobacterium faecium	BM-02-2020-52	225	225	1	1	0	0
BTM-T-071	33025	Phascolarctobacterium faecium	GBM-01-2020-049	225	225	1	0.99556	1	0
T-132	1686	Bifidobacterium catenulatum	GBM-01-2020-058	104	104	1	0.97115	3	0
T-132	1686	Bifidobacterium catenulatum	GBM-01-2020-44	104	104	1	0.97115	3	0
T-132	1686	Bifidobacterium catenulatum	GBM-01-2020-056	104	104	1	1	0	0
T-132	1686	Bifidobacterium catenulatum	GBM-01-2020-41	104	104	1	0.97115	3	0
T-132	1686	Bifidobacterium catenulatum	GBM-BM-257	104	104	1	0.99038	1	0
T-132	1366	Lactococcus raffinolactis	GBM-01-2020-049	151	151	1	1	0	0
T-132	1366	Lactococcus raffinolactis	GBM-01-2020-108	151	151	1	1	0	0
T-132	1366	Lactococcus raffinolactis	BM-02-2020-52	151	151	1	1	0	0
T-132	1366	Lactococcus raffinolactis	GBM-BM-396	151	151	1	1	0	0
T-132	1366	Lactococcus raffinolactis	GBM-01-2020-41	151	151	1	0.99338	1	0
T-132	1366	Lactococcus raffinolactis	GBM-01-2020-43	151	151	1	1	0	0
T-132	1366	Lactococcus raffinolactis	GBM-01-2020-058	151	151	1	1	0	0
T-132	1366	Lactococcus raffinolactis	GBM-01-2020-44	151	151	1	1	0	0
T-132	1366	Lactococcus raffinolactis	GBM-BM-430	151	151	1	0.99338	1	0
T-132	1366	Lactococcus raffinolactis	GBM-BM-346	151	151	1	1	0	0
T-132	1366	Lactococcus raffinolactis	GBM-01-2020-046	151	151	1	1	0	0
T-132	1366	Lactococcus raffinolactis	GBM-01-2020-056	151	151	1	1	0	0
BTM-T-002	1686	Bifidobacterium catenulatum	GBM-BM-284	901	146	0.162042175	0.97945	3	0
BTM-T-002	1686	Bifidobacterium catenulatum	GBM-01-2020-056	901	448	0.497225305	0.993303973	3	0
BTM-T-002	1686	Bifidobacterium catenulatum	GBM-01-2020-44	901	146	0.162042175	0.9726	4	0
BTM-T-292	2382163	Streptococcus koreensis	GBM-BM-257	151	151	1	0.99338	1	0
BTM-T-292	2382163	Streptococcus koreensis	GBM-01-2020-43	151	150	0.993377483	0.98	3	0
BTM-T-292	2382163	Streptococcus koreensis	GBM-01-2020-046	151	151	1	0.99338	1	0
BTM-T-292	2382163	Streptococcus koreensis	GBM-01-2020-049	151	151	1	0.99338	1	0
BTM-T-292	46124	Granulicatella adiacens	GBM-BM-257	151	151	1	1	0	0
BTM-T-021	28111	Bacteroides eggerthii	BM-02-2020-43	151	151	1	1	0	0
BTM-T-021	28111	Bacteroides eggerthii	GBM-01-2020-049	151	151	1	1	0	0
BTM-T-021	28111	Bacteroides eggerthii	BM-02-2020-52	151	151	1	1	0	0
BTM-T-021	28111	Bacteroides eggerthii	GBM-BM-396	151	151	1	1	0	0
BTM-T-021	28111	Bacteroides eggerthii	GBM-01-2020-41	151	151	1	1	0	0
BTM-T-021	28111	Bacteroides eggerthii	GBM-01-2020-056	151	151	1	1	0	0
BTM-T-021	28111	Bacteroides eggerthii	GBM-BM-438	151	151	1	0.98013	3	0
BTM-T-021	28111	Bacteroides eggerthii	GBM-01-2020-058	151	151	1	0.99338	1	0
BTM-T-021	28111	Bacteroides eggerthii	GBM-01-2020-44	151	151	1	1	0	0
BTM-T-021	28111	Bacteroides eggerthii	GBM-BM-284	151	151	1	1	0	0
BTM-T-021	28111	Bacteroides eggerthii	GBM-BM-430	151	151	1	0.99338	1	0
BTM-T-021	28111	Bacteroides eggerthii	GBM-BM-346	151	151	1	1	0	0
BTM-T-021	28128	Prevotella corporis	GBM-01-2020-44	614	166	0.270358306	0.98795	2	0
BTM-T-021	1686	Bifidobacterium catenulatum	GBM-01-2020-44	302	302	1	0.986755	4	0
BTM-T-021	1686	Bifidobacterium catenulatum	GBM-BM-284	302	151	0.5	0.97351	4	0
BTM-T-021	1686	Bifidobacterium catenulatum	GBM-01-2020-058	302	302	1	0.98675	4	0
BTM-T-021	1686	Bifidobacterium catenulatum	GBM-BM-346	302	302	1	0.97682	7	0
BTM-T-021	1686	Bifidobacterium catenulatum	GBM-01-2020-046	302	302	1	0.97682	7	0
BTM-T-021	1686	Bifidobacterium catenulatum	GBM-01-2020-056	302	302	1	0.98013	6	0
BTM-T-021	1686	Bifidobacterium catenulatum	GBM-BM-438	302	302	1	0.97682	7	0
T-170	1686	Bifidobacterium catenulatum	GBM-01-2020-058	151	151	1	0.98675	2	0
T-170	387090	Phocaeicola coprophilus	GBM-01-2020-41	302	302	1	0.97682	7	0
T-170	387090	Phocaeicola coprophilus	GBM-BM-396	302	151	0.5	0.98013	3	0
T-170	387090	Phocaeicola coprophilus	GBM-01-2020-046	302	302	1	0.97682	7	0
T-170	387090	Phocaeicola coprophilus	GBM-BM-346	302	302	1	0.97351	8	0
T-170	387090	Phocaeicola coprophilus	BM-02-2020-52	302	151	0.5	0.98013	3	0
T-170	387090	Phocaeicola coprophilus	GBM-01-2020-049	302	151	0.5	0.97351	4	0
