Name	TaxaId	Approx Genome completion	Max Coverage in completed segments	Reads	Total Letters In Reads
Rothia mucilaginosa	43675	0.000671829170562358598	3	11	1550
Ruthenibacterium lactatiformans	1550024	6.83280488450523479e-05	2	2	302
Schaalia odontolytica	1660	0.000511411423499079502	2	8	1207
Segatella copri	165179	0.00365766723093316459	2	91	13106
Serratia liquefaciens	614	0.000113391902879459714	1	4	604
Staphylococcus capitis	29388	0.00074414946042424414	2	12	1824
Staphylococcus epidermidis	1282	0.0006137995231035701	2	10	1551
Staphylococcus hominis	1290	0.00581835363689775598	4	89	13384
Streptococcus anginosus	1328	7.36610266873899688e-05	1	1	150
Streptococcus gordonii	1302	2.42946891809450454e-05	1	1	54
Streptococcus gwangjuense	1433513	0.000281878221510654338	1	4	556
Streptococcus ilei	1156431	0.000715093651335710463	1	9	1440
Streptococcus infantis	68892	8.7839036721987692e-05	1	1	150
Streptococcus mitis	28037	0.000307179759893888097	1	4	660
Streptococcus oralis	1303	0.000327623180045396973	1	4	627
Streptococcus parasanguinis	1318	0.000213821961356282613	1	3	453
Streptococcus salivarius	1304	0.000206950900556209098	1	3	453
Streptococcus sanguinis	1305	6.53146806886679448e-05	1	2	156
Streptococcus sp. A12	1759399	0.000161123468059940064	1	2	302
Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006	3077584	3.42283111612509615e-05	1	1	74
Streptococcus sp. KS 6	2598457	0.000154790827362097774	1	2	302
Streptococcus sp. LPB0220	2610896	0.000137809356224061139	1	2	294
Streptococcus sp. Marseille-Q3533	2759692	0.000265393251918485852	1	3	449
Streptococcus sp. S1	3098075	7.55144612727379618e-05	1	1	149
Streptococcus sp. S5	3098076	0.00014299682518638121	1	2	302
Streptococcus sp. VT 162	1419814	0.000110722222439965039	1	2	226
Streptococcus sp. oral taxon 061	712623	3.56792941163144988e-05	1	1	63
Streptococcus thermophilus	1308	0.0226463953657394197	2	272	42065
Veillonella atypica	39777	0.00035586278007016799	1	5	751
Veillonella nakazawae	2682456	0.000618737546595990123	2	8	1298
Veillonella parvula	29466	0.00062700638388250906	2	10	1349
Veillonella rogosae	423477	0.00741505494332362391	2	101	16002
Veillonella sp. S12025-13	2682455	0.00124420532716714372	2	17	2579
Vescimonas coprocola	2714355	3.17183100797656761e-05	1	1	81
