"","Protein","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.37","Bcl6","BrM","High - Low",-0.420723103201459,0.203568607816331,0.376089070121431
"High...Low.38","ASS1","BrM","High - Low",0.0833938772333961,0.891263206443756,0.926913734701507
"High...Low.39","ISG15","BrM","High - Low",0.906041676706803,0.0120931124171728,0.0524034871410821
"High...Low.40","Indoleamine 2_3-dioxygenase","BrM","High - Low",-0.126578826995698,0.843657197628952,0.904893072504952
"High...Low.41","p27 KIP 1 (phospho S10)","BrM","High - Low",0.404451860895458,0.370701732006826,0.529573902866895
"High...Low.42","LDL Receptor","BrM","High - Low",0.329042296741973,0.274941111302907,0.442834928316447
"High...Low.43","ERK1 (phospho T202 + Y204) + ERK2 (phospho T185 + Y187)","BrM","High - Low",2.37414318621509,5.18982368151504e-06,0.000168669269649239
"High...Low.44","Integrin alpha 6","BrM","High - Low",0.81924900030791,0.00220242886849881,0.0178624439214452
"High...Low.45","CREB (phospho S133)","BrM","High - Low",0.385410460504912,0.134541266511854,0.277624835659382
"High...Low.46","PDGF B","BrM","High - Low",0.743989835536239,0.00969350125398424,0.0442159706322088
"High...Low.47","Syk (phospho Y323)","BrM","High - Low",0.60838350850003,0.0156636905513329,0.0607844707962172
"High...Low.48","Integrin alpha 5","BrM","High - Low",0.466016764217443,0.129108473483888,0.276790265384218
"High...Low.49","STAT5b","BrM","High - Low",0.775688504767492,0.013766284633583,0.0559255313239307
"High...Low.50","CPT1A","BrM","High - Low",0.447114200161356,0.462160999498933,0.619391030256301
"High...Low.51","Cdk2","BrM","High - Low",1.12880720161832,0.000503391381804265,0.00635651255034233
"High...Low.52","HLA E","BrM","High - Low",0.824477163167365,0.0144989003413123,0.057995601365249
"High...Low.53","CCR6","BrM","High - Low",0.0354925416906482,0.921586053101649,0.943355802387514
"High...Low.54","Insulin Receptor beta","BrM","High - Low",0.705010260955678,0.0658005538428358,0.188001582408102
"High...Low.55","ROCK1","BrM","High - Low",0.794566559624875,0.00742455567731425,0.0378506760019942
"High...Low.56","GSK3 beta (phospho S9)","BrM","High - Low",1.12567168565087,0.29393226355765,0.463165991060539
"High...Low.57","S6K1","BrM","High - Low",0.569866435171931,0.0357698293682296,0.122655081831795
"High...Low.58","CD44","BrM","High - Low",0.24967401565448,0.440791393843162,0.596701350281112
"High...Low.59","beta 2 Microglobulin","BrM","High - Low",0.641722397350259,0.15145036373923,0.302900727478459
"High...Low.60","IMP3","BrM","High - Low",0.182764732207209,0.729275834536338,0.817291883532103
"High...Low.61","IGF1 Receptor","BrM","High - Low",0.392638814923596,0.133060647090707,0.276790265384218
"High...Low.62","TLR9","BrM","High - Low",1.04707053208977,0.000736895532947458,0.00798303494026413
"High...Low.63","MX1","BrM","High - Low",1.02010833255935,0.2514984113646,0.419164018940999
"High...Low.64","gamma H2A.X (phospho S139)","BrM","High - Low",0.49246031246862,0.0454420645683711,0.144084594972884
"High...Low.65","NSD3","BrM","High - Low",0.442290961522083,0.141352693680748,0.289383467377909
"High...Low.66","TNFAIP3","BrM","High - Low",0.780874938158978,0.0810435998662044,0.21723026768261
"High...Low.67","STAT2","BrM","High - Low",0.564577740727919,0.0572422979855141,0.171068936508433
"High...Low.68","FABP4","BrM","High - Low",0.825323920802517,0.00772827498808078,0.0382584959191842
"High...Low.69","Somatostatin Receptor 2","BrM","High - Low",0.247091297113375,0.386294151415712,0.537979949785976
"High...Low.70","ETS1","BrM","High - Low",0.78057748766409,0.000330094482324495,0.00470800186926611
"High...Low.71","KMT6/EZH2 (phospho T487)","BrM","High - Low",1.18086542714517,0.133072242973182,0.276790265384218
"High...Low.72","EGFR","BrM","High - Low",0.19834151053195,0.478855548618999,0.635216544086428
"High...Low.73","Bad","BrM","High - Low",0.677769672593792,0.0680298724288393,0.192258335124981
"High...Low.74","Cytokeratin 14","BrM","High - Low",0.445947063388478,0.0883574978097776,0.22606347168705
"High...Low.75","Histone H3 (acetyl K27)","BrM","High - Low",0.03981138425107,0.972800771171367,0.972800771171367
"High...Low.76","HMGB2","BrM","High - Low",1.17535044455271,0.160470395608875,0.313701525250433
"High...Low.77","Histone H2A.X","BrM","High - Low",-0.159810814920176,0.887214720228292,0.926913734701507
"High...Low.78","Hsp27 (phospho S78)","BrM","High - Low",1.70905658348046,0.521923356286303,0.671782537794252
"High...Low.79","CD74","BrM","High - Low",0.486942407093165,0.202324090935054,0.376089070121431
"High...Low.80","MyD88","BrM","High - Low",0.75104233602037,0.0020525798562841,0.017215185891415
"High...Low.81","Brd4","BrM","High - Low",0.766303429226068,0.130098322307983,0.276790265384218
"High...Low.82","FANCI","BrM","High - Low",1.3008730417239,0.000105613425705453,0.00211226851410907
"High...Low.83","PI 3 Kinase p85 alpha","BrM","High - Low",0.262855764160077,0.317147634395949,0.482631355468034
"High...Low.84","SOD2/MnSOD (acetyl K68)","BrM","High - Low",0.654317242995169,0.0131920474765274,0.0553214894176954
"High...Low.85","MLH1","BrM","High - Low",0.683488691225652,0.208985411956464,0.379973476284481
"High...Low.86","NKG2D","BrM","High - Low",0.475401622119867,0.307218775754793,0.472644270391989
"High...Low.87","Ki67","BrM","High - Low",0.748167425403629,0.0593526650379967,0.175360146703172
"High...Low.88","Src","BrM","High - Low",0.390957958012526,0.510292668500423,0.662198002419233
"High...Low.89","Cathepsin S","BrM","High - Low",0.471345350147467,0.324793051528872,0.484571777749284
"High...Low.90","CD64","BrM","High - Low",0.32431086417372,0.4394587284582,0.596701350281112
"High...Low.91","MMP9","BrM","High - Low",0.643078965503096,0.113559252122038,0.258994785541489
"High...Low.92","Smad2","BrM","High - Low",0.826717222710948,0.00401677622062025,0.0247507246365437
"High...Low.93","TLR7","BrM","High - Low",1.37693002106472,0.386931733115298,0.537979949785976
"High...Low.94","STAT1 (phospho S727)","BrM","High - Low",1.13868039152672,0.123488453279887,0.272093202142123
"High...Low.95","CDK1","BrM","High - Low",1.11184632601585,0.000898657170114524,0.00934603456919105
"High...Low.96","KIR3DL1 + KIR3DS1","BrM","High - Low",0.367139721720295,0.257802824457572,0.426934613751393
"High...Low.97","ErbB4 / HER4+ErbB2 / HER2","BrM","High - Low",0.329853021609632,0.632658700964578,0.742652887457381
"High...Low.98","ATG7","BrM","High - Low",0.757729698658866,0.00418858416926125,0.0247507246365437
"High...Low.99","Integrin beta 1","BrM","High - Low",0.140025713770911,0.772979019159511,0.84799386068132
"High...Low.100","Sonic Hedgehog","BrM","High - Low",0.748283699241259,0.0135087096114435,0.0557502301424654
"High...Low.101","Dnmt1","BrM","High - Low",0.959783589053304,0.225781784926876,0.393981638127435
"High...Low.102","ATM (phospho S1981)","BrM","High - Low",1.65371597479745,0.660014531803232,0.759308753401949
"High...Low.103","Nanog","BrM","High - Low",0.761722706402172,0.144917125316137,0.294362910798404
"High...Low.104","HLA-C","BrM","High - Low",0.761808436422787,0.0872909963802742,0.22606347168705
"High...Low.105","Hexokinase II","BrM","High - Low",1.36016248826272,6.18239962722711e-06,0.000178602655897672
"High...Low.106","c-Jun","BrM","High - Low",0.252278699929548,0.483651033298716,0.63688453349027
"High...Low.107","Aldolase","BrM","High - Low",0.853208856885819,0.00233585805126591,0.0178624439214452
"High...Low.108","Histone H3 (phospho S28)","BrM","High - Low",1.00214339195977,0.211749063974216,0.382324698842335
"High...Low.109","SFRP4","BrM","High - Low",1.77274895518477,5.08910106270546e-06,0.000168669269649239
"High...Low.110","Granzyme A","BrM","High - Low",0.140834033431815,0.735427333350833,0.820648526485908
"High...Low.111","mTOR (phospho S2448)","BrM","High - Low",0.891375835371508,2.49015637316655e-06,0.00010790677617055
"High...Low.112","Cytokeratin 17","BrM","High - Low",0.752929260563688,0.00252250769271736,0.0182181111140698
"High...Low.113","HLA-DR","BrM","High - Low",0.619858872019505,0.324229928291324,0.484571777749284
"High...Low.114","ST2","BrM","High - Low",0.335773906538625,0.345933595474014,0.50529626305193
"High...Low.115","SHP1","BrM","High - Low",0.562076428014148,0.805672837372163,0.87281224048651
"High...Low.116","LAG-3","BrM","High - Low",0.900583681209279,8.03948904453292e-07,5.2256678789464e-05
"High...Low.117","Smad3","BrM","High - Low",0.557638819763648,0.341903673504166,0.50223138480838
"High...Low.118","CD68","BrM","High - Low",0.188029840095653,0.751076454712098,0.827457111123498
"High...Low.119","S100 beta","BrM","High - Low",0.265530325084001,0.551599665954343,0.689445356411969
"High...Low.120","iNOS","BrM","High - Low",0.3293579730535,0.243867075541312,0.414204317278646
"High...Low.121","HDAC9","BrM","High - Low",0.289276667567004,0.652622922559433,0.754142043846456
"High...Low.122","HMGB1","BrM","High - Low",-0.0219465616542865,0.969929069713924,0.972800771171367
"High...Low.123","p38 beta/MAPK11 + p38 alpha/MAPK14","BrM","High - Low",0.637000255244945,0.0530335808683246,0.162220365008993
"High...Low.124","Pan Trk","BrM","High - Low",0.518469961017877,0.155079817942293,0.307792005076308
"High...Low.125","c-Myc","BrM","High - Low",0.718256005335781,0.00296819844142935,0.0203087261782008
"High...Low.126","FADD","BrM","High - Low",1.51055174280423,0.428515110870209,0.58638909908555
"High...Low.127","p53 (acetyl K373)","BrM","High - Low",0.250703816410921,0.845726986995013,0.904893072504952
"High...Low.128","CD20","BrM","High - Low",0.832101887398224,0.268632490837137,0.442053465934529
"High...Low.129","CXCL5 + CXCL6","BrM","High - Low",0.4156420138935,0.599385620417913,0.718996429555173
"High...Low.130","Histone H2A (phospho T120)","BrM","High - Low",1.0121371866684,0.00112181741944251,0.0104168760376805
"High...Low.131","PAK1+PAK2+PAK3 (phospho S141 + S144 + S154)","BrM","High - Low",1.50258782838422,0.000162424880940481,0.00281536460296833
"High...Low.132","SMAD5","BrM","High - Low",0.684015352651506,0.0947322105768241,0.234574997618803
"High...Low.133","MEK1","BrM","High - Low",0.496827022433826,0.193416306931107,0.364407534797738
"High...Low.134","Caspase-3 p12","BrM","High - Low",1.57697092133688,5.40499204118158e-07,4.77402143700905e-05
"High...Low.135","S100P","BrM","High - Low",0.915752863291236,0.0968806313837462,0.236110207145776
"High...Low.136","BTK","BrM","High - Low",0.646489952819076,0.089555913783716,0.22606347168705
"High...Low.137","CD90 / Thy1","BrM","High - Low",0.69786914187436,0.0775990850394532,0.212376443265872
"High...Low.138","p38 (phospho T180)","BrM","High - Low",0.992203342348645,1.34870484257039e-06,7.01326518136605e-05
"High...Low.139","KIR2DL3","BrM","High - Low",0.3283872597306,0.511929994177945,0.662198002419233
"High...Low.140","ERK2","BrM","High - Low",0.275519770090956,0.54076827543955,0.685852446898941
"High...Low.141","RSK1 p90 (phospho T359)","BrM","High - Low",1.82727210378274,0.0444901600316993,0.144084594972884
"High...Low.142","IL4","BrM","High - Low",0.563235126658104,0.0612704170993194,0.178445052239865
"High...Low.143","RPS6 (phospho S235 + S236)","BrM","High - Low",1.63918631937359,0.00165167356779369,0.014314504254212
"High...Low.144","Neutrophil Elastase","BrM","High - Low",1.02209372803605,0.000125842127611812,0.00233706808421937
"High...Low.145","Adenosine Receptor A2a","BrM","High - Low",0.724960824701188,0.247605393476741,0.41533807938034
"High...Low.146","MMP14","BrM","High - Low",0.857969047062711,0.350944495471584,0.50975178113191
"High...Low.147","ERK1","BrM","High - Low",0.353807442283985,0.636086526945687,0.742652887457381
"High...Low.148","NAK/TBK1","BrM","High - Low",0.921953259420169,0.508516195658504,0.662198002419233
"High...Low.149","HDAC3","BrM","High - Low",0.736520209763968,0.326154081177402,0.484571777749284
"High...Low.150","VEGF Receptor 2","BrM","High - Low",0.0361216502800409,0.920680283152558,0.943355802387514
"High...Low.151","LYVE1","BrM","High - Low",0.0365243303040034,0.889738515587799,0.926913734701507
"High...Low.152","PCNA","BrM","High - Low",1.02031447617813,0.00728634507639485,0.0378506760019942
"High...Low.153","Heme Oxygenase 1","BrM","High - Low",-0.359510099959402,0.476906807591572,0.635216544086428
"High...Low.154","NFkB p105 / p50","BrM","High - Low",1.30644229292991,0.000513410629066111,0.00635651255034233
"High...Low.155","ALDH1A1","BrM","High - Low",0.46112767598783,0.587035674478208,0.70990360634574
"High...Low.156","Monoamine Oxidase A/MAO-A","BrM","High - Low",-0.30312222367159,0.602756336355956,0.718996429555173
"High...Low.157","Retinoic Acid Receptor beta","BrM","High - Low",1.05371742712569,0.547146973478054,0.689445356411969
"High...Low.158","PKC beta 1","BrM","High - Low",0.853493068361544,0.0801136073420816,0.216974353218138
"High...Low.159","PAK1","BrM","High - Low",0.448357072289897,0.295893860019992,0.463442674418782
"High...Low.160","SOD2/MnSOD","BrM","High - Low",0.607581996739359,0.128340901975171,0.276790265384218
"High...Low.161","AIF","BrM","High - Low",0.937547957963286,0.230170132836525,0.398519502251796
"High...Low.162","IFIT1","BrM","High - Low",0.683514759177662,0.205402492143243,0.376089070121431
"High...Low.163","ATM","BrM","High - Low",0.532328035855275,0.0152989152084599,0.0602684538515087
"High...Low.164","IGF2BP1/IMP1","BrM","High - Low",0.673402713836318,0.101193648470808,0.241379344976238
"High...Low.165","Catalase","BrM","High - Low",0.839208069561572,0.14893402417114,0.300177102980592
"High...Low.166","Bak","BrM","High - Low",0.0688437904643135,0.915495832604291,0.943355802387514
"High...Low.167","TRAF2","BrM","High - Low",0.852976329496142,0.00246443385613517,0.0182181111140698
"High...Low.168","Cleaved PARP1","BrM","High - Low",0.687024052287624,0.0824170221420787,0.218657405683066
"High...Low.169","Histone H3 (acetyl K9)","BrM","High - Low",0.35318057684988,0.747496025746863,0.827457111123498
"High...Low.170","HLA G","BrM","High - Low",0.898570141639987,0.00233466639285111,0.0178624439214452
"High...Low.171","DR5","BrM","High - Low",0.937415684584773,0.00858327447574071,0.0403772821065007
"High...Low.172","Carbonic Anhydrase 9/CA9","BrM","High - Low",0.3970558850351,0.485012067811821,0.63688453349027
"High...Low.173","PDGFR alpha + PDGFR beta","BrM","High - Low",0.765287780977958,0.112034447817143,0.257988920855814
"High...Low.174","FAK","BrM","High - Low",0.0289867878051916,0.951264971509324,0.958639118575288
"High...Low.175","IL-12A","BrM","High - Low",0.667712544013021,0.00636990051773114,0.0352494412786206
"High...Low.176","MSH2","BrM","High - Low",1.69198611521705,0.216719879714721,0.383314072964813
"High...Low.177","IRF3","BrM","High - Low",1.51300152112093,5.50848627347198e-07,4.77402143700905e-05
"High...Low.178","HLA-DPB1","BrM","High - Low",-0.300160190048315,0.605108197043971,0.718996429555173
"High...Low.179","CCR3","BrM","High - Low",0.203567579029807,0.578484844459161,0.70990360634574
"High...Low.180","Bcl-XL","BrM","High - Low",0.321975894483858,0.620680130514173,0.733531063334932
"High...Low.181","ATR (phospho S428)","BrM","High - Low",1.30639405519138,0.0163896521099523,0.0626663168909942
"High...Low.182","ARID3A","BrM","High - Low",-0.126444232884958,0.667949137347495,0.765051875375986
"High...Low.183","pan Cytokeratin","BrM","High - Low",0.372563977954233,0.636967668857677,0.742652887457381
"High...Low.184","CD14","BrM","High - Low",-0.188541300514696,0.707756209455769,0.803566002002183
"High...Low.185","MEKK3","BrM","High - Low",1.86124716546582,0.00869664537678476,0.0403772821065007
"High...Low.186","Pro Caspase-8","BrM","High - Low",1.02358107101103,0.157893087407848,0.311001535803338
"High...Low.187","Met (c-Met)","BrM","High - Low",0.546058916224155,0.355526206500174,0.513537853833584
"High...Low.188","Caspase-10/CASP-10","BrM","High - Low",0.599612908963649,0.0170791411739276,0.0643561841336403
"High...Low.189","TOMM20","BrM","High - Low",0.444245914392315,0.402302314648892,0.556375541535702
"High...Low.190","MEK4/MKK4 (phospho S80)","BrM","High - Low",0.587663139262768,0.554207998038852,0.689445356411969
"High...Low.191","Cytokeratin 19","BrM","High - Low",0.382726181064528,0.539860081760494,0.685852446898941
"High...Low.192","HLA A","BrM","High - Low",1.69686580414141,0.0971684314023,0.236110207145776
"High...Low.193","NF-kB p65","BrM","High - Low",0.904829194465838,0.000673547513851686,0.00789813306709176
"High...Low.194","Topoisomerase II alpha","BrM","High - Low",0.770800892556839,0.000292188077576373,0.00446875883352101
"High...Low.195","Hexokinase 1","BrM","High - Low",-0.178475908347913,0.858992054170423,0.915319401984877
"High...Low.196","TROP2","BrM","High - Low",0.83481201276849,0.0855530154568379,0.224684687058362
"High...Low.197","IKK gamma/NEMO","BrM","High - Low",1.19270385151661,2.6191416420253e-05,0.000619069842660526
"High...Low.198","GLB1/Beta-galactosidase","BrM","High - Low",2.32379763031878,0.942052032734378,0.956771595745852
"High...Low.199","IFNGR1","BrM","High - Low",0.706215395309332,0.00794599530629211,0.0382584959191842
"High...Low.200","PP2A alpha + beta","BrM","High - Low",1.03189956181737,0.168632059978445,0.327196534286536
"High...Low.201","RPS6","BrM","High - Low",0.170321566671921,0.64187994588212,0.745039222898889
"High...Low.202","Histone H3 (acetyl K14)","BrM","High - Low",0.136987620482093,0.911183923127848,0.943355802387514
"High...Low.203","HDAC2","BrM","High - Low",0.564353830111429,0.283290389612385,0.449118910361098
"High...Low.204","IDH1","BrM","High - Low",2.15241309324332,4.3805500028857e-07,4.77402143700905e-05
"High...Low.205","Tuberin","BrM","High - Low",-0.946548186244122,0.281310364058262,0.448715918129743
"High...Low.206","STAT3","BrM","High - Low",0.870360560153925,0.030174880989928,0.106019852126774
"High...Low.207","Caveolin-1","BrM","High - Low",0.838965712085511,0.240452995822612,0.411301177064994
"High...Low.208","HuR / ELAVL1","BrM","High - Low",0.941148291969446,0.442936002324056,0.596701350281112
"High...Low.209","Lamin A + Lamin B1 + Lamin C","BrM","High - Low",1.02783756503807,0.0908822403337248,0.227205600834312
"High...Low.210","Bax","BrM","High - Low",0.569654574577071,0.118872534657207,0.264161188127127
"High...Low.211","Fatty Acid Synthase","BrM","High - Low",1.11688297998833,0.187259417728759,0.358005147899688
"High...Low.212","Insulin Receptor alpha","BrM","High - Low",0.504202726467414,0.231447864769312,0.398519502251796
"High...Low.213","Hsp27","BrM","High - Low",0.524801329630489,0.205221331885943,0.376089070121431
"High...Low.214","MEK2","BrM","High - Low",0.729075416621945,0.225438305939326,0.393981638127435
"High...Low.215","ENO1 + ENO2 + ENO3","BrM","High - Low",1.53922668392123,8.23818030887112e-06,0.000214192688030649
"High...Low.216","CD276","BrM","High - Low",1.30994059427799,0.000209089919918239,0.00339771119867138
"High...Low.217","beta glucuronidase (GUSB)","BrM","High - Low",1.0452523214014,0.275920224566402,0.442834928316447
"High...Low.218","S100A8 + S100A9","BrM","High - Low",1.12116081375222,0.117418027295735,0.263178337042165
"High...Low.219","Smac/Diablo","BrM","High - Low",0.734810154561036,0.00637201438498141,0.0352494412786206
"High...Low.220","Ubiquitin","BrM","High - Low",1.18834486384924,0.0382150199367743,0.128429764775835
"High...Low.221","alpha smooth muscle Actin","BrM","High - Low",0.678422557494985,0.325172954977326,0.484571777749284
"High...Low.222","Histone H3 (phospho S10)","BrM","High - Low",1.06685089364758,0.378477567212456,0.53293761457526
"High...Low.223","SMAD1 + SMAD5 + SMAD9 (phospho S463 + S465 + S467)","BrM","High - Low",0.688331921955405,0.376249188835672,0.53293761457526
"High...Low.224","Cyclophilin A","BrM","High - Low",0.758294531578764,0.215755066004196,0.383314072964813
"High...Low.225","Vimentin","BrM","High - Low",0.155993380233921,0.946573719517908,0.957623218189323
"High...Low.226","E Cadherin","BrM","High - Low",0.103564461261201,0.700088880640624,0.798346969151589
"High...Low.227","SDHA","BrM","High - Low",0.928782085978766,0.839071615800782,0.904893072504952
"High...Low.228","PLCG 2","BrM","High - Low",1.42016334669103,3.78445296330943e-05,0.000819964808717043
"High...Low.229","Cdk4","BrM","High - Low",0.818782980382569,0.00387072693929039,0.0245460732735488
"High...Low.230","Cytokeratin 8 (phospho S431)","BrM","High - Low",1.85162381312007,0.245336403311198,0.414204317278646
"High...Low.231","S100A9","BrM","High - Low",1.25462368561834,0.0487499453854902,0.150928540394383
"High...Low.232","VEGF Receptor 1","BrM","High - Low",1.46301319623471,0.303715928040181,0.470036555300281
"High...Low.233","CD63","BrM","High - Low",0.555663670068387,0.216603575163908,0.383314072964813
"High...Low.234","beta Tubulin","BrM","High - Low",0.490111048749326,0.580826368589135,0.70990360634574
"High...Low.235","Rho A + B + C","BrM","High - Low",0.999269145940594,0.00346416174031486,0.0225170513120466
"High...Low.236","Histone H3 (acetyl K18)","BrM","High - Low",0.150774749734094,0.93916974732475,0.956771595745852
"High...Low.237","CREB","BrM","High - Low",0.874907281158226,0.000344046290446369,0.00470800186926611
"High...Low.238","MRP8","BrM","High - Low",1.06655970058649,0.115944578918386,0.262135569728524
"High...Low.239","Sumo 1","BrM","High - Low",0.900380000151919,0.100507237947916,0.241379344976238
"High...Low.240","Glucose Transporter GLUT1","BrM","High - Low",0.179931148871707,0.796290387960879,0.866257325815182
"High...Low.241","Glucose 6 Phosphate Dehydrogenase","BrM","High - Low",1.92033959698534,0.297672794722833,0.463442674418782
"High...Low.242","Actin","BrM","High - Low",0.676353031833882,0.0450377785243867,0.144084594972884
"High...Low.243","Bid","BrM","High - Low",0.615902018740891,0.0487615284351084,0.150928540394383
"High...Low.244","Hsp90","BrM","High - Low",1.01737948428293,0.00686782242770383,0.0364415067592448
"High...Low.245","Lactate Dehydrogenase","BrM","High - Low",1.28432844486206,0.00288237922568581,0.0202545567210354
"High...Low.246","MUC1","BrM","High - Low",0.531589216944168,0.0194505838604054,0.0702382194959084
"High...Low.247","IKB alpha","BrM","High - Low",0.866974431126393,0.00100977548440815,0.00998177596402346
"High...Low.248","Cytokeratin 8","BrM","High - Low",1.46210238205329,0.27362899944621,0.442834928316447
"High...Low.249","IDH2","BrM","High - Low",1.2921053089543,0.379205610370858,0.53293761457526
"High...Low.250","LAMP1","BrM","High - Low",1.02713979053749,0.0113652133505018,0.0509475081229389
"High...Low.251","IKKi/IKKe","BrM","High - Low",0.608021771386253,0.0264303916745554,0.0941356415806084
"High...Low.252","Histone H3 (mono methyl K4)","BrM","High - Low",0.292011158293785,0.748183545344322,0.827457111123498
"High...Low.253","Calreticulin","BrM","High - Low",0.741819408250344,0.550898013745287,0.689445356411969
"High...Low.254","Histone H2A (acetyl K5)","BrM","High - Low",0.246292254965185,0.878542019357839,0.926913734701507
"High...Low.255","Histone H3 (di methyl K4)","BrM","High - Low",0.745426650055492,0.187264231209068,0.358005147899688
"High...Low.256","Histone H3 (tri methyl K9)","BrM","High - Low",0.916213870732644,0.317422929942438,0.482631355468034
"High...Low.257","GAPDH","BrM","High - Low",0.553226463740534,0.0130550367591431,0.0553214894176954
"High...Low.258","Histone H3","BrM","High - Low",0.249344617113563,0.719362606358359,0.809672197632785
"High...Low.259","Histone H3 (di methyl K79)","BrM","High - Low",0.312299328870316,0.792923404794954,0.866218845574319
