Tumor	TaxID	Taxa Name	Other Sample	Tumor Total Genome Length	Other Sample Genome Match	Percent of Length Matching
BTM-T-292	114527	Mogibacterium diversum	01-2020-049_SL	603	150	0.248756218905472637
BTM-T-292	114527	Mogibacterium diversum	01-2020-056_SL	603	301	0.499170812603648425
BTM-T-292	1156431	Streptococcus ilei	02-2020-50-SL	302	151	0.5
BTM-T-292	203	Campylobacter rectus	02-2020-59-SL	59	59	1
BTM-T-292	29466	Veillonella parvula	01-2020-043_SL	150	150	1
BTM-T-292	29466	Veillonella parvula	GBM-BM-284-SL	150	150	1
BTM-T-292	29466	Veillonella parvula	01-2020-058-SL	150	150	1
BTM-T-292	29466	Veillonella parvula	GBM-BM-260-SL	150	150	1
BTM-T-292	29466	Veillonella parvula	02-2020-50-SL	150	150	1
BTM-T-292	29466	Veillonella parvula	GBM-BM-307-SL	150	150	1
BTM-T-292	29466	Veillonella parvula	01-2020-049_SL	150	150	1
BTM-T-292	29466	Veillonella parvula	GBM-BM-257-SL	150	150	1
BTM-T-292	29466	Veillonella parvula	GBM-BM-293-SL	150	150	1
BTM-T-292	537011	Segatella copri DSM 18205	02-2020-52-SL	604	453	0.75
BTM-T-292	548	Klebsiella aerogenes	01-2020-056_SL	1178	1027	0.871816638370118845
BTM-T-292	1419814	Streptococcus sp. VT 162	01-2020-044_SL	75	75	1
BTM-T-292	1419814	Streptococcus sp. VT 162	02-2020-043_SL	75	75	1
BTM-T-292	1419814	Streptococcus sp. VT 162	01-2020-046_SL	75	75	1
BTM-T-292	1419814	Streptococcus sp. VT 162	GBM-BM-Kit-275-SL	75	75	1
BTM-T-292	617123	Lachnoanaerobaculum umeaense	01-2020-108-SL	301	301	1
BTM-T-292	617123	Lachnoanaerobaculum umeaense	GBM-BM-260-SL	301	150	0.498338870431893688
BTM-T-292	617123	Lachnoanaerobaculum umeaense	01-2020-044_SL	301	151	0.501661129568106312
BTM-T-292	617123	Lachnoanaerobaculum umeaense	GBM-BM-257-SL	301	301	1
BTM-T-292	617123	Lachnoanaerobaculum umeaense	01-2020-043_SL	301	150	0.498338870431893688
BTM-T-292	2682456	Veillonella nakazawae	01-2020-049_SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	02-2020-50-SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	GBM-BM-307-SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	02-2020-59-SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	GBM-BM-299-SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	GBM-BM-260-SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	01-2020-044_SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	01-2020-056_SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	01-2020-016_SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	GBM-BM-293-SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	GBM-BM-Kit-275-SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	01-2020-043_SL	151	151	1
BTM-T-292	2682456	Veillonella nakazawae	01-2020-058-SL	151	151	1
BTM-T-292	644	Aeromonas hydrophila	01-2020-056_SL	301	301	1
BTM-T-292	423477	Veillonella rogosae	GBM-BM-284-SL	762	92	0.12073490813648294
BTM-T-292	423477	Veillonella rogosae	01-2020-044_SL	762	428	0.561679790026246719
BTM-T-292	423477	Veillonella rogosae	02-2020-043_SL	762	251	0.329396325459317585
BTM-T-292	423477	Veillonella rogosae	GBM-BM-260-SL	762	92	0.12073490813648294
BTM-T-292	423477	Veillonella rogosae	01-2020-108-SL	762	334	0.438320209973753281
BTM-T-292	423477	Veillonella rogosae	GBM-BM-Kit-275-SL	762	520	0.682414698162729659
BTM-T-292	423477	Veillonella rogosae	01-2020-043_SL	762	92	0.12073490813648294
BTM-T-292	423477	Veillonella rogosae	GBM-BM-257-SL	762	251	0.329396325459317585
BTM-T-292	423477	Veillonella rogosae	02-2020-50-SL	762	92	0.12073490813648294
BTM-T-292	423477	Veillonella rogosae	01-2020-056_SL	762	520	0.682414698162729659
BTM-T-292	423477	Veillonella rogosae	01-2020-049_SL	762	520	0.682414698162729659
BTM-T-292	2545799	Capnocytophaga sp. FDAARGOS_737	01-2020-044_SL	235	235	1
BTM-T-292	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-260-SL	235	235	1
BTM-T-292	2545799	Capnocytophaga sp. FDAARGOS_737	01-2020-058-SL	235	235	1
BTM-T-292	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-257-SL	235	235	1
BTM-T-292	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-299-SL	235	235	1
BTM-T-292	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-293-SL	235	235	1
BTM-T-292	2545799	Capnocytophaga sp. FDAARGOS_737	01-2020-049_SL	235	235	1
BTM-T-292	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-276-SL	235	235	1
BTM-T-292	28449	Neisseria subflava	01-2020-056_SL	151	151	1
BTM-T-292	28449	Neisseria subflava	GBM-BM-257-SL	151	151	1
BTM-T-292	28449	Neisseria subflava	GBM-BM-284-SL	151	151	1
BTM-T-012	1308	Streptococcus thermophilus	01-2020-058-SL	3927	2646	0.673796791443850267
BTM-T-012	1308	Streptococcus thermophilus	02-2020-043_SL	3927	2538	0.646294881588999236
BTM-T-012	1308	Streptococcus thermophilus	GBM-BM-260-SL	3927	2682	0.682964094728800611
BTM-T-012	1308	Streptococcus thermophilus	02-2020-52-SL	3927	2974	0.757321110262286733
BTM-T-012	1308	Streptococcus thermophilus	01-2020-041_SL	3927	2176	0.554112554112554113
BTM-T-012	423477	Veillonella rogosae	01-2020-108-SL	1440	302	0.209722222222222222
BTM-T-012	423477	Veillonella rogosae	02-2020-043_SL	1440	151	0.104861111111111111
BTM-T-012	423477	Veillonella rogosae	01-2020-044_SL	1440	151	0.104861111111111111
BTM-T-012	423477	Veillonella rogosae	GBM-BM-284-SL	1440	581	0.403472222222222222
BTM-T-012	423477	Veillonella rogosae	01-2020-043_SL	1440	302	0.209722222222222222
BTM-T-012	423477	Veillonella rogosae	GBM-BM-Kit-275-SL	1440	302	0.209722222222222222
BTM-T-012	423477	Veillonella rogosae	GBM-BM-257-SL	1440	532	0.369444444444444444
BTM-T-012	423477	Veillonella rogosae	01-2020-049_SL	1440	302	0.209722222222222222
BTM-T-012	423477	Veillonella rogosae	01-2020-056_SL	1440	732	0.508333333333333333
BTM-T-012	423477	Veillonella rogosae	02-2020-50-SL	1440	581	0.403472222222222222
BTM-T-012	1115758	Romboutsia ilealis	02-2020-52-SL	414	120	0.289855072463768116
BTM-T-012	2715960	Bradyrhizobium sp. PSBB068	GBM-BM-276-SL	123856	315	0.00254327606252422168
BTM-T-012	39777	Veillonella atypica	01-2020-056_SL	151	151	1
BTM-T-012	39777	Veillonella atypica	GBM-BM-257-SL	151	151	1
BTM-T-012	39777	Veillonella atypica	01-2020-016_SL	151	151	1
BTM-T-012	39777	Veillonella atypica	GBM-BM-293-SL	151	151	1
BTM-T-012	39777	Veillonella atypica	01-2020-041_SL	151	151	1
BTM-T-012	39777	Veillonella atypica	01-2020-043_SL	151	151	1
BTM-T-012	39777	Veillonella atypica	GBM-BM-Kit-275-SL	151	151	1
BTM-T-012	39777	Veillonella atypica	GBM-BM-284-SL	151	151	1
BTM-T-012	39777	Veillonella atypica	02-2020-043_SL	151	151	1
BTM-T-012	39777	Veillonella atypica	01-2020-046_SL	151	151	1
BTM-T-012	1351	Enterococcus faecalis	Saliva_EXT-PTC_L007_R1_001.fastq.gz	533	257	0.482176360225140713
BTM-T-012	418240	Blautia wexlerae	02-2020-52-SL	295	295	1
T-052	548	Klebsiella aerogenes	01-2020-056_SL	300	300	1
T-052	83655	Leclercia adecarboxylata	01-2020-056_SL	62	62	1
T-052	537011	Segatella copri DSM 18205	02-2020-52-SL	451	451	1
T-052	1077464	Streptococcus oralis subsp. tigurinus	GBM-BM-293-SL	229	150	0.655021834061135371
T-052	1660	Schaalia odontolytica	01-2020-058-SL	302	151	0.5
T-052	1660	Schaalia odontolytica	01-2020-041_SL	302	151	0.5
T-052	2682455	Veillonella sp. S12025-13	GBM-BM-260-SL	458	156	0.340611353711790393
T-052	2682455	Veillonella sp. S12025-13	01-2020-058-SL	458	151	0.329694323144104803
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	01-2020-044_SL	587	436	0.742759795570698467
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-260-SL	587	151	0.257240204429301533
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	01-2020-041_SL	587	151	0.257240204429301533
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-299-SL	587	302	0.514480408858603066
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-257-SL	587	436	0.742759795570698467
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-307-SL	587	302	0.514480408858603066
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	02-2020-50-SL	587	587	1
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-276-SL	587	436	0.742759795570698467
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	01-2020-049_SL	587	587	1
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-284-SL	587	587	1
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	01-2020-058-SL	587	436	0.742759795570698467
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	01-2020-043_SL	587	151	0.257240204429301533
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-Kit-275-SL	587	285	0.485519591141396934
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	GBM-BM-293-SL	587	587	1
T-052	2545799	Capnocytophaga sp. FDAARGOS_737	01-2020-056_SL	587	302	0.514480408858603066
T-052	165179	Segatella copri	02-2020-52-SL	1491	1340	0.898725687458081824
T-052	729	Haemophilus parainfluenzae	01-2020-043_SL	236	236	1
T-052	729	Haemophilus parainfluenzae	01-2020-056_SL	236	236	1
T-052	729	Haemophilus parainfluenzae	02-2020-50-SL	236	236	1
T-052	729	Haemophilus parainfluenzae	GBM-BM-257-SL	236	236	1
T-052	729	Haemophilus parainfluenzae	01-2020-044_SL	236	236	1
T-052	3098075	Streptococcus sp. S1	GBM-BM-284-SL	149	149	1
T-052	84135	Gemella sanguinis	01-2020-056_SL	453	453	1
T-052	84135	Gemella sanguinis	GBM-BM-293-SL	453	151	0.333333333333333333
T-052	84135	Gemella sanguinis	01-2020-016_SL	453	302	0.666666666666666667
T-052	84135	Gemella sanguinis	GBM-BM-Kit-275-SL	453	453	1
T-052	84135	Gemella sanguinis	GBM-BM-284-SL	453	453	1
T-052	84135	Gemella sanguinis	01-2020-058-SL	453	453	1
T-052	84135	Gemella sanguinis	GBM-BM-307-SL	453	302	0.666666666666666667
T-052	84135	Gemella sanguinis	02-2020-50-SL	453	453	1
T-052	84135	Gemella sanguinis	GBM-BM-257-SL	453	453	1
T-052	84135	Gemella sanguinis	02-2020-59-SL	453	151	0.333333333333333333
T-052	84135	Gemella sanguinis	01-2020-041_SL	453	151	0.333333333333333333
T-052	84135	Gemella sanguinis	02-2020-043_SL	453	151	0.333333333333333333
T-052	28132	Prevotella melaninogenica	01-2020-058-SL	302	151	0.5
T-052	28132	Prevotella melaninogenica	GBM-BM-260-SL	302	302	1
T-052	28132	Prevotella melaninogenica	01-2020-108-SL	302	151	0.5
T-052	28132	Prevotella melaninogenica	GBM-BM-284-SL	302	151	0.5
T-052	28132	Prevotella melaninogenica	01-2020-043_SL	302	302	1
T-052	28132	Prevotella melaninogenica	02-2020-59-SL	302	151	0.5
T-052	28132	Prevotella melaninogenica	01-2020-016_SL	302	151	0.5
T-052	28132	Prevotella melaninogenica	GBM-BM-299-SL	302	151	0.5
T-052	28132	Prevotella melaninogenica	01-2020-049_SL	302	151	0.5
T-052	2610896	Streptococcus sp. LPB0220	GBM-BM-Kit-275-SL	143	143	1
T-052	2610896	Streptococcus sp. LPB0220	01-2020-058-SL	143	143	1
T-052	2610896	Streptococcus sp. LPB0220	GBM-BM-293-SL	143	143	1
T-052	29466	Veillonella parvula	GBM-BM-293-SL	506	251	0.496047430830039526
T-052	29466	Veillonella parvula	01-2020-016_SL	506	355	0.70158102766798419
T-052	29466	Veillonella parvula	GBM-BM-284-SL	506	251	0.496047430830039526
T-052	29466	Veillonella parvula	01-2020-108-SL	506	100	0.197628458498023715
T-052	29466	Veillonella parvula	01-2020-058-SL	506	506	1
T-052	29466	Veillonella parvula	01-2020-043_SL	506	255	0.503952569169960474
T-052	29466	Veillonella parvula	GBM-BM-Kit-275-SL	506	506	1
T-052	29466	Veillonella parvula	GBM-BM-257-SL	506	251	0.496047430830039526
T-052	29466	Veillonella parvula	GBM-BM-299-SL	506	100	0.197628458498023715
T-052	29466	Veillonella parvula	02-2020-59-SL	506	406	0.802371541501976285
T-052	29466	Veillonella parvula	GBM-BM-307-SL	506	151	0.29841897233201581
T-052	29466	Veillonella parvula	02-2020-50-SL	506	100	0.197628458498023715
T-052	29466	Veillonella parvula	01-2020-049_SL	506	506	1
T-052	29466	Veillonella parvula	01-2020-044_SL	506	251	0.496047430830039526
T-052	29466	Veillonella parvula	01-2020-046_SL	506	355	0.70158102766798419
T-052	29466	Veillonella parvula	GBM-BM-260-SL	506	251	0.496047430830039526
T-052	29466	Veillonella parvula	02-2020-043_SL	506	355	0.70158102766798419
T-052	29466	Veillonella parvula	01-2020-041_SL	506	100	0.197628458498023715
T-052	1318	Streptococcus parasanguinis	01-2020-056_SL	453	453	1
T-052	1318	Streptococcus parasanguinis	01-2020-058-SL	453	151	0.333333333333333333
T-052	1318	Streptococcus parasanguinis	02-2020-59-SL	453	151	0.333333333333333333
T-052	1318	Streptococcus parasanguinis	GBM-BM-299-SL	453	151	0.333333333333333333
T-052	1318	Streptococcus parasanguinis	GBM-BM-284-SL	453	302	0.666666666666666667
T-052	2820817	Aggregatibacter sp. 2125159857	01-2020-046_SL	302	151	0.5
T-052	2820817	Aggregatibacter sp. 2125159857	GBM-BM-257-SL	302	302	1
T-052	2820817	Aggregatibacter sp. 2125159857	02-2020-50-SL	302	151	0.5
T-052	46506	Bacteroides stercoris	02-2020-52-SL	77	77	1
BTM-T-251	33053	Neisseria perflava	GBM-BM-307-SL	453	151	0.333333333333333333
BTM-T-251	33053	Neisseria perflava	GBM-BM-284-SL	453	151	0.333333333333333333
BTM-T-251	33053	Neisseria perflava	GBM-BM-257-SL	453	151	0.333333333333333333
BTM-T-251	33053	Neisseria perflava	GBM-BM-260-SL	453	151	0.333333333333333333
BTM-T-251	33053	Neisseria perflava	01-2020-046_SL	453	151	0.333333333333333333
BTM-T-251	548	Klebsiella aerogenes	01-2020-056_SL	1145	1145	1
BTM-T-251	537011	Segatella copri DSM 18205	02-2020-52-SL	1045	391	0.374162679425837321
BTM-T-251	712623	Streptococcus sp. oral taxon 061	GBM-BM-276-SL	63	63	1
BTM-T-251	712623	Streptococcus sp. oral taxon 061	01-2020-049_SL	63	63	1
BTM-T-251	712623	Streptococcus sp. oral taxon 061	01-2020-016_SL	63	63	1
BTM-T-251	712623	Streptococcus sp. oral taxon 061	GBM-BM-Kit-275-SL	63	63	1
BTM-T-251	712623	Streptococcus sp. oral taxon 061	02-2020-043_SL	63	63	1
BTM-T-251	712623	Streptococcus sp. oral taxon 061	GBM-BM-284-SL	63	63	1
BTM-T-251	712623	Streptococcus sp. oral taxon 061	01-2020-044_SL	63	63	1
BTM-T-251	3098076	Streptococcus sp. S5	GBM-BM-260-SL	302	302	1
BTM-T-251	3098076	Streptococcus sp. S5	01-2020-016_SL	302	151	0.5
BTM-T-251	3098076	Streptococcus sp. S5	02-2020-59-SL	302	302	1
BTM-T-251	3098076	Streptococcus sp. S5	01-2020-041_SL	302	151	0.5
BTM-T-251	3098076	Streptococcus sp. S5	GBM-BM-Kit-275-SL	302	302	1
BTM-T-251	2682455	Veillonella sp. S12025-13	01-2020-041_SL	998	395	0.395791583166332665
BTM-T-251	2682455	Veillonella sp. S12025-13	GBM-BM-260-SL	998	151	0.151302605210420842
BTM-T-251	2682455	Veillonella sp. S12025-13	01-2020-046_SL	998	151	0.151302605210420842
BTM-T-251	2682455	Veillonella sp. S12025-13	01-2020-044_SL	998	453	0.453907815631262525
BTM-T-251	2682455	Veillonella sp. S12025-13	01-2020-049_SL	998	151	0.151302605210420842
BTM-T-251	2682455	Veillonella sp. S12025-13	GBM-BM-307-SL	998	151	0.151302605210420842
BTM-T-251	2682455	Veillonella sp. S12025-13	02-2020-59-SL	998	302	0.302605210420841683
BTM-T-251	2682455	Veillonella sp. S12025-13	GBM-BM-299-SL	998	302	0.302605210420841683
BTM-T-251	2682455	Veillonella sp. S12025-13	01-2020-058-SL	998	395	0.395791583166332665
BTM-T-251	2682455	Veillonella sp. S12025-13	GBM-BM-284-SL	998	302	0.302605210420841683
BTM-T-251	2682455	Veillonella sp. S12025-13	GBM-BM-293-SL	998	151	0.151302605210420842
BTM-T-251	2682455	Veillonella sp. S12025-13	01-2020-016_SL	998	302	0.302605210420841683
BTM-T-251	43675	Rothia mucilaginosa	01-2020-108-SL	103	103	1
BTM-T-251	43675	Rothia mucilaginosa	01-2020-058-SL	103	103	1
BTM-T-251	43675	Rothia mucilaginosa	02-2020-043_SL	103	103	1
BTM-T-251	43675	Rothia mucilaginosa	GBM-BM-293-SL	103	103	1
BTM-T-251	43675	Rothia mucilaginosa	GBM-BM-299-SL	103	103	1
BTM-T-251	43675	Rothia mucilaginosa	01-2020-049_SL	103	103	1
BTM-T-251	43675	Rothia mucilaginosa	01-2020-056_SL	103	103	1
BTM-T-251	1303	Streptococcus oralis	01-2020-056_SL	302	302	1
BTM-T-251	28132	Prevotella melaninogenica	GBM-BM-284-SL	146	146	1
BTM-T-251	28132	Prevotella melaninogenica	01-2020-058-SL	146	146	1
BTM-T-251	28132	Prevotella melaninogenica	01-2020-043_SL	146	146	1
BTM-T-251	28132	Prevotella melaninogenica	GBM-BM-Kit-275-SL	146	146	1
BTM-T-251	28132	Prevotella melaninogenica	GBM-BM-257-SL	146	146	1
BTM-T-251	28132	Prevotella melaninogenica	GBM-BM-299-SL	146	146	1
BTM-T-251	28132	Prevotella melaninogenica	02-2020-50-SL	146	146	1
BTM-T-251	2144175	Megasphaera stantonii	02-2020-52-SL	81	81	1
BTM-T-251	641149	Neisseria sp. oral taxon 014 str. F0314	01-2020-056_SL	151	151	1
BTM-T-251	641149	Neisseria sp. oral taxon 014 str. F0314	GBM-BM-260-SL	151	151	1
BTM-T-251	470565	Prevotella histicola	01-2020-043_SL	83	83	1
BTM-T-251	470565	Prevotella histicola	01-2020-058-SL	83	83	1
BTM-T-251	470565	Prevotella histicola	01-2020-108-SL	83	83	1
BTM-T-251	470565	Prevotella histicola	01-2020-056_SL	83	83	1
BTM-T-251	470565	Prevotella histicola	01-2020-016_SL	83	83	1
BTM-T-251	470565	Prevotella histicola	GBM-BM-293-SL	83	83	1
BTM-T-251	470565	Prevotella histicola	01-2020-041_SL	83	83	1
BTM-T-251	470565	Prevotella histicola	02-2020-043_SL	83	83	1
BTM-T-251	470565	Prevotella histicola	01-2020-044_SL	83	83	1
BTM-T-251	470565	Prevotella histicola	01-2020-049_SL	83	83	1
BTM-T-251	470565	Prevotella histicola	GBM-BM-307-SL	83	83	1
BTM-T-251	470565	Prevotella histicola	02-2020-59-SL	83	83	1
BTM-T-251	470565	Prevotella histicola	GBM-BM-299-SL	83	83	1
BTM-T-251	47671	Lautropia mirabilis	GBM-BM-260-SL	302	302	1
BTM-T-251	47671	Lautropia mirabilis	01-2020-046_SL	302	302	1
BTM-T-251	47671	Lautropia mirabilis	01-2020-108-SL	302	151	0.5
BTM-T-251	47671	Lautropia mirabilis	02-2020-043_SL	302	302	1
BTM-T-251	47671	Lautropia mirabilis	01-2020-043_SL	302	151	0.5
BTM-T-251	47671	Lautropia mirabilis	GBM-BM-257-SL	302	302	1
BTM-T-251	47671	Lautropia mirabilis	GBM-BM-299-SL	302	151	0.5
BTM-T-251	47671	Lautropia mirabilis	01-2020-049_SL	302	302	1
BTM-T-251	47671	Lautropia mirabilis	01-2020-056_SL	302	151	0.5
BTM-T-251	47671	Lautropia mirabilis	GBM-BM-307-SL	302	302	1
BTM-T-251	47671	Lautropia mirabilis	02-2020-50-SL	302	151	0.5
BTM-T-289	43675	Rothia mucilaginosa	GBM-BM-Kit-275-SL	302	151	0.5
BTM-T-289	43675	Rothia mucilaginosa	01-2020-043_SL	302	151	0.5
BTM-T-289	43675	Rothia mucilaginosa	01-2020-108-SL	302	151	0.5
BTM-T-289	43675	Rothia mucilaginosa	GBM-BM-284-SL	302	151	0.5
BTM-T-289	43675	Rothia mucilaginosa	02-2020-50-SL	302	151	0.5
BTM-T-289	43675	Rothia mucilaginosa	GBM-BM-307-SL	302	151	0.5
BTM-T-289	1419814	Streptococcus sp. VT 162	01-2020-046_SL	151	151	1
BTM-T-289	1419814	Streptococcus sp. VT 162	02-2020-043_SL	151	151	1
BTM-T-289	548	Klebsiella aerogenes	01-2020-056_SL	174	174	1
